date,district,category,sentiment,resolution_days,resolved,source
2025-01-03,Harbour,Illegal Parking,frustrated,7,True,phone
2025-01-04,Central,Traffic Signal Issue,neutral,0,True,email
2025-01-04,Harbour,Traffic Signal Issue,urgent,0,True,app
2025-01-04,Central,Waste Collection,neutral,6,True,app
2025-01-04,Greenpark,Waste Collection,concerned,4,True,app
2025-01-04,Eastfield,Waste Collection,urgent,0,True,chatbot
2025-01-04,Eastfield,Noise Complaint,neutral,5,True,email
2025-01-04,Eastfield,Air Quality Concern,frustrated,3,True,app
2025-01-04,Riverside,Waste Collection,satisfied,1,True,app
2025-01-04,Eastfield,Air Quality Concern,neutral,0,True,app
2025-01-04,Harbour,Noise Complaint,satisfied,0,True,social_media
2025-01-04,Riverside,Illegal Parking,neutral,3,True,phone
2025-01-04,Central,Traffic Signal Issue,urgent,3,True,app
2025-01-04,Harbour,Illegal Parking,frustrated,5,True,app
2025-01-04,Central,Traffic Signal Issue,concerned,0,True,phone
2025-01-04,Greenpark,Pothole Repair,neutral,4,True,social_media
2025-01-04,Northgate,Waste Collection,frustrated,3,True,chatbot
2025-01-04,Eastfield,Streetlight Outage,frustrated,11,False,app
2025-01-04,Eastfield,Streetlight Outage,neutral,14,False,chatbot
2025-01-04,Central,Waste Collection,frustrated,3,True,social_media
2025-01-04,Harbour,Pothole Repair,neutral,2,True,social_media
2025-01-05,Riverside,Illegal Parking,neutral,0,True,phone
2025-01-05,Central,Illegal Parking,neutral,7,True,app
2025-01-05,Riverside,Pothole Repair,urgent,12,False,chatbot
2025-01-05,Eastfield,Traffic Signal Issue,neutral,13,False,phone
2025-01-05,Eastfield,Waste Collection,frustrated,10,False,app
2025-01-05,Eastfield,Traffic Signal Issue,frustrated,11,False,phone
2025-01-05,Eastfield,Illegal Parking,frustrated,6,True,app
2025-01-05,Northgate,EV Charger Fault,frustrated,16,False,social_media
2025-01-05,Eastfield,EV Charger Fault,neutral,0,True,chatbot
2025-01-05,Riverside,Waste Collection,frustrated,2,True,email
2025-01-05,Central,Air Quality Concern,satisfied,3,True,app
2025-01-05,Northgate,Illegal Parking,neutral,4,True,email
2025-01-05,Harbour,Waste Collection,neutral,6,True,app
2025-01-05,Northgate,Pothole Repair,neutral,1,True,app
2025-01-05,Central,Streetlight Outage,neutral,2,True,social_media
2025-01-05,Eastfield,Illegal Parking,neutral,1,True,app
2025-01-05,Greenpark,Streetlight Outage,frustrated,7,True,phone
2025-01-05,Riverside,Streetlight Outage,neutral,5,True,phone
2025-01-06,Northgate,Air Quality Concern,frustrated,2,True,phone
2025-01-06,Eastfield,Waste Collection,frustrated,1,True,phone
2025-01-06,Greenpark,Noise Complaint,neutral,3,True,chatbot
2025-01-06,Riverside,Noise Complaint,frustrated,1,True,phone
2025-01-07,Northgate,Traffic Signal Issue,neutral,2,True,chatbot
2025-01-07,Central,Pothole Repair,frustrated,17,False,app
2025-01-07,Greenpark,Waste Collection,frustrated,4,True,email
2025-01-07,Eastfield,Noise Complaint,frustrated,5,True,chatbot
2025-01-07,Eastfield,Illegal Parking,neutral,2,True,email
2025-01-07,Greenpark,Pothole Repair,concerned,3,True,app
2025-01-07,Riverside,Pothole Repair,concerned,3,True,app
2025-01-07,Northgate,Air Quality Concern,neutral,4,True,app
2025-01-07,Central,Traffic Signal Issue,neutral,0,True,app
2025-01-07,Northgate,EV Charger Fault,concerned,2,True,email
2025-01-07,Greenpark,Traffic Signal Issue,neutral,10,False,app
2025-01-07,Northgate,Noise Complaint,neutral,1,True,phone
2025-01-07,Central,Pothole Repair,neutral,4,True,app
2025-01-07,Harbour,Waste Collection,neutral,0,True,email
2025-01-07,Riverside,Waste Collection,urgent,4,True,social_media
2025-01-07,Greenpark,Illegal Parking,satisfied,12,False,app
2025-01-07,Northgate,Pothole Repair,concerned,0,True,phone
2025-01-07,Central,Streetlight Outage,frustrated,2,True,app
2025-01-07,Greenpark,Streetlight Outage,neutral,5,True,phone
2025-01-07,Riverside,Traffic Signal Issue,neutral,7,True,social_media
2025-01-07,Riverside,Waste Collection,frustrated,2,True,email
2025-01-07,Eastfield,Waste Collection,concerned,6,True,app
2025-01-07,Greenpark,Waste Collection,neutral,3,True,app
2025-01-07,Central,Waste Collection,frustrated,1,True,app
2025-01-07,Eastfield,Traffic Signal Issue,concerned,4,True,chatbot
2025-01-08,Central,Streetlight Outage,neutral,4,True,chatbot
2025-01-08,Riverside,Waste Collection,neutral,8,False,email
2025-01-08,Riverside,Streetlight Outage,urgent,1,True,app
2025-01-08,Riverside,Waste Collection,satisfied,0,True,chatbot
2025-01-08,Riverside,Air Quality Concern,concerned,1,True,social_media
2025-01-08,Eastfield,Pothole Repair,frustrated,4,True,phone
2025-01-08,Riverside,Pothole Repair,concerned,9,False,app
2025-01-08,Greenpark,Illegal Parking,frustrated,8,False,social_media
2025-01-08,Greenpark,Streetlight Outage,neutral,2,True,phone
2025-01-08,Central,Illegal Parking,concerned,2,True,email
2025-01-08,Northgate,EV Charger Fault,urgent,11,False,email
2025-01-08,Central,Pothole Repair,concerned,0,True,app
2025-01-08,Northgate,EV Charger Fault,urgent,3,True,phone
2025-01-08,Eastfield,Traffic Signal Issue,neutral,2,True,app
2025-01-08,Northgate,Waste Collection,neutral,7,True,app
2025-01-08,Riverside,Air Quality Concern,satisfied,6,True,social_media
2025-01-09,Harbour,Pothole Repair,neutral,5,True,social_media
2025-01-09,Northgate,Waste Collection,neutral,2,True,chatbot
2025-01-09,Harbour,EV Charger Fault,frustrated,3,True,phone
2025-01-09,Greenpark,Noise Complaint,neutral,2,True,email
2025-01-09,Riverside,Noise Complaint,neutral,0,True,app
2025-01-09,Central,Illegal Parking,frustrated,1,True,chatbot
2025-01-09,Northgate,Air Quality Concern,frustrated,0,True,phone
2025-01-09,Greenpark,Streetlight Outage,neutral,9,False,email
2025-01-09,Eastfield,Waste Collection,urgent,3,True,email
2025-01-09,Eastfield,EV Charger Fault,concerned,9,False,app
2025-01-09,Riverside,Illegal Parking,frustrated,4,True,phone
2025-01-10,Riverside,Illegal Parking,concerned,2,True,phone
2025-01-10,Eastfield,Pothole Repair,concerned,3,True,chatbot
2025-01-10,Eastfield,Traffic Signal Issue,frustrated,6,True,app
2025-01-10,Riverside,Waste Collection,urgent,10,False,app
2025-01-10,Eastfield,Waste Collection,neutral,0,True,social_media
2025-01-10,Eastfield,Streetlight Outage,urgent,11,False,chatbot
2025-01-10,Central,Pothole Repair,concerned,0,True,app
2025-01-10,Greenpark,Pothole Repair,concerned,15,False,app
2025-01-10,Central,Pothole Repair,satisfied,2,True,chatbot
2025-01-10,Greenpark,Streetlight Outage,urgent,10,False,email
2025-01-10,Eastfield,Traffic Signal Issue,urgent,0,True,app
2025-01-10,Riverside,Streetlight Outage,frustrated,2,True,phone
2025-01-10,Central,Air Quality Concern,urgent,1,True,chatbot
2025-01-10,Riverside,EV Charger Fault,satisfied,9,False,chatbot
2025-01-10,Greenpark,Noise Complaint,frustrated,0,True,social_media
2025-01-10,Greenpark,EV Charger Fault,concerned,10,False,email
2025-01-10,Harbour,Traffic Signal Issue,neutral,9,False,phone
2025-01-10,Central,Streetlight Outage,concerned,3,True,app
2025-01-10,Central,Air Quality Concern,urgent,1,True,app
2025-01-10,Greenpark,Streetlight Outage,satisfied,0,True,chatbot
2025-01-10,Harbour,Waste Collection,frustrated,6,True,app
2025-01-10,Harbour,Waste Collection,urgent,0,True,app
2025-01-11,Central,Noise Complaint,neutral,3,True,app
2025-01-11,Northgate,Traffic Signal Issue,frustrated,11,False,chatbot
2025-01-11,Harbour,Pothole Repair,frustrated,1,True,chatbot
2025-01-11,Eastfield,Air Quality Concern,urgent,5,True,chatbot
2025-01-11,Central,Pothole Repair,concerned,1,True,app
2025-01-11,Riverside,Pothole Repair,frustrated,2,True,app
2025-01-11,Eastfield,Streetlight Outage,concerned,0,True,phone
2025-01-11,Harbour,Air Quality Concern,concerned,1,True,app
2025-01-11,Northgate,Streetlight Outage,neutral,1,True,app
2025-01-11,Harbour,Illegal Parking,neutral,1,True,phone
2025-01-11,Eastfield,Illegal Parking,concerned,3,True,phone
2025-01-11,Central,Waste Collection,frustrated,2,True,chatbot
2025-01-11,Harbour,Streetlight Outage,concerned,2,True,email
2025-01-11,Harbour,Streetlight Outage,neutral,1,True,social_media
2025-01-11,Greenpark,Waste Collection,neutral,8,False,app
2025-01-11,Harbour,Pothole Repair,concerned,10,False,phone
2025-01-11,Eastfield,Traffic Signal Issue,neutral,11,False,social_media
2025-01-11,Eastfield,EV Charger Fault,satisfied,0,True,app
2025-01-11,Riverside,Waste Collection,concerned,1,True,phone
2025-01-11,Eastfield,Illegal Parking,frustrated,0,True,social_media
2025-01-11,Eastfield,Air Quality Concern,concerned,0,True,phone
2025-01-11,Riverside,Waste Collection,concerned,0,True,phone
2025-01-12,Central,Noise Complaint,concerned,2,True,chatbot
2025-01-12,Harbour,Waste Collection,neutral,2,True,app
2025-01-12,Northgate,Pothole Repair,concerned,8,False,app
2025-01-12,Central,Air Quality Concern,concerned,5,True,app
2025-01-12,Greenpark,Pothole Repair,concerned,8,False,app
2025-01-12,Riverside,EV Charger Fault,neutral,7,True,email
2025-01-12,Eastfield,Noise Complaint,neutral,6,True,app
2025-01-12,Riverside,Traffic Signal Issue,urgent,5,True,app
2025-01-12,Harbour,EV Charger Fault,frustrated,8,False,chatbot
2025-01-12,Central,Air Quality Concern,frustrated,5,True,app
2025-01-12,Eastfield,Traffic Signal Issue,urgent,25,False,phone
2025-01-12,Riverside,Air Quality Concern,concerned,15,False,social_media
2025-01-12,Greenpark,Waste Collection,frustrated,1,True,phone
2025-01-12,Harbour,Air Quality Concern,frustrated,0,True,app
2025-01-12,Greenpark,Pothole Repair,neutral,1,True,social_media
2025-01-12,Eastfield,Illegal Parking,urgent,3,True,email
2025-01-12,Eastfield,EV Charger Fault,frustrated,6,True,app
2025-01-12,Eastfield,Waste Collection,frustrated,2,True,email
2025-01-13,Greenpark,Pothole Repair,neutral,0,True,chatbot
2025-01-13,Northgate,Streetlight Outage,concerned,16,False,app
2025-01-13,Riverside,EV Charger Fault,neutral,0,True,app
2025-01-13,Harbour,Noise Complaint,neutral,3,True,chatbot
2025-01-13,Eastfield,Illegal Parking,frustrated,1,True,email
2025-01-13,Eastfield,Waste Collection,neutral,5,True,phone
2025-01-13,Riverside,Air Quality Concern,satisfied,14,False,phone
2025-01-13,Greenpark,Illegal Parking,neutral,5,True,phone
2025-01-13,Greenpark,Traffic Signal Issue,frustrated,12,False,phone
2025-01-14,Greenpark,Waste Collection,concerned,3,True,social_media
2025-01-14,Northgate,Pothole Repair,concerned,0,True,app
2025-01-14,Greenpark,Air Quality Concern,concerned,0,True,app
2025-01-14,Central,Streetlight Outage,concerned,5,True,email
2025-01-14,Greenpark,Streetlight Outage,neutral,6,True,app
2025-01-14,Central,Pothole Repair,urgent,1,True,app
2025-01-14,Eastfield,Pothole Repair,frustrated,20,False,email
2025-01-14,Greenpark,Noise Complaint,frustrated,1,True,chatbot
2025-01-14,Harbour,EV Charger Fault,frustrated,1,True,email
2025-01-14,Harbour,EV Charger Fault,urgent,3,True,app
2025-01-14,Eastfield,EV Charger Fault,concerned,0,True,app
2025-01-14,Greenpark,Noise Complaint,satisfied,7,True,app
2025-01-14,Central,Illegal Parking,satisfied,2,True,app
2025-01-14,Harbour,Pothole Repair,neutral,5,True,app
2025-01-14,Riverside,Pothole Repair,neutral,3,True,phone
2025-01-14,Harbour,Noise Complaint,frustrated,7,True,chatbot
2025-01-14,Northgate,Pothole Repair,concerned,5,True,email
2025-01-14,Riverside,Traffic Signal Issue,neutral,6,True,email
2025-01-15,Riverside,Pothole Repair,neutral,3,True,app
2025-01-15,Eastfield,EV Charger Fault,urgent,0,True,social_media
2025-01-15,Central,Noise Complaint,neutral,1,True,phone
2025-01-15,Eastfield,EV Charger Fault,neutral,3,True,phone
2025-01-15,Riverside,Air Quality Concern,neutral,2,True,app
2025-01-15,Riverside,Air Quality Concern,frustrated,9,False,phone
2025-01-15,Greenpark,Waste Collection,concerned,9,False,phone
2025-01-15,Riverside,Air Quality Concern,concerned,26,False,app
2025-01-15,Northgate,Waste Collection,concerned,6,True,chatbot
2025-01-15,Riverside,Traffic Signal Issue,concerned,8,False,chatbot
2025-01-15,Eastfield,Air Quality Concern,concerned,1,True,social_media
2025-01-16,Northgate,Streetlight Outage,concerned,2,True,email
2025-01-16,Eastfield,Traffic Signal Issue,concerned,7,True,phone
2025-01-16,Northgate,Pothole Repair,satisfied,7,True,email
2025-01-16,Riverside,Air Quality Concern,concerned,2,True,social_media
2025-01-16,Riverside,EV Charger Fault,urgent,5,True,app
2025-01-16,Eastfield,Air Quality Concern,frustrated,0,True,app
2025-01-16,Greenpark,Pothole Repair,urgent,3,True,phone
2025-01-16,Greenpark,Illegal Parking,concerned,8,False,social_media
2025-01-16,Central,Pothole Repair,neutral,0,True,social_media
2025-01-16,Eastfield,Streetlight Outage,neutral,9,False,app
2025-01-16,Northgate,EV Charger Fault,urgent,6,True,phone
2025-01-16,Northgate,Traffic Signal Issue,concerned,5,True,phone
2025-01-16,Riverside,Traffic Signal Issue,neutral,6,True,app
2025-01-16,Riverside,Pothole Repair,frustrated,6,True,phone
2025-01-16,Riverside,Traffic Signal Issue,frustrated,5,True,app
2025-01-16,Central,Waste Collection,neutral,11,False,chatbot
2025-01-16,Greenpark,Waste Collection,neutral,5,True,app
2025-01-16,Eastfield,Waste Collection,concerned,2,True,app
2025-01-16,Riverside,Illegal Parking,neutral,13,False,app
2025-01-16,Northgate,Streetlight Outage,concerned,2,True,app
2025-01-17,Riverside,Pothole Repair,concerned,4,True,app
2025-01-17,Greenpark,Waste Collection,concerned,6,True,chatbot
2025-01-17,Northgate,Waste Collection,neutral,2,True,chatbot
2025-01-17,Eastfield,EV Charger Fault,neutral,10,False,email
2025-01-17,Eastfield,Waste Collection,neutral,0,True,app
2025-01-17,Harbour,Noise Complaint,neutral,2,True,phone
2025-01-17,Greenpark,Illegal Parking,concerned,2,True,chatbot
2025-01-17,Central,Waste Collection,satisfied,13,False,social_media
2025-01-17,Greenpark,Illegal Parking,frustrated,8,False,phone
2025-01-17,Greenpark,Noise Complaint,satisfied,34,False,phone
2025-01-17,Greenpark,EV Charger Fault,neutral,0,True,app
2025-01-17,Eastfield,Traffic Signal Issue,neutral,0,True,app
2025-01-17,Riverside,Waste Collection,concerned,1,True,social_media
2025-01-17,Northgate,Pothole Repair,concerned,6,True,social_media
2025-01-17,Central,EV Charger Fault,urgent,4,True,email
2025-01-17,Greenpark,Waste Collection,concerned,1,True,app
2025-01-18,Harbour,Streetlight Outage,frustrated,2,True,app
2025-01-18,Greenpark,Pothole Repair,frustrated,0,True,app
2025-01-18,Eastfield,Illegal Parking,neutral,1,True,app
2025-01-18,Harbour,EV Charger Fault,neutral,9,False,email
2025-01-18,Harbour,Waste Collection,neutral,1,True,chatbot
2025-01-18,Greenpark,Streetlight Outage,concerned,5,True,phone
2025-01-18,Northgate,Air Quality Concern,frustrated,5,True,phone
2025-01-18,Greenpark,Air Quality Concern,concerned,5,True,app
2025-01-18,Central,Pothole Repair,frustrated,1,True,app
2025-01-18,Central,Illegal Parking,concerned,4,True,chatbot
2025-01-18,Eastfield,Traffic Signal Issue,frustrated,11,False,chatbot
2025-01-18,Eastfield,Traffic Signal Issue,frustrated,2,True,phone
2025-01-18,Riverside,Illegal Parking,concerned,0,True,app
2025-01-18,Northgate,Pothole Repair,concerned,3,True,social_media
2025-01-18,Riverside,Streetlight Outage,frustrated,0,True,phone
2025-01-18,Central,Pothole Repair,neutral,6,True,email
2025-01-18,Eastfield,Pothole Repair,urgent,1,True,chatbot
2025-01-18,Harbour,Noise Complaint,neutral,5,True,app
2025-01-18,Harbour,Noise Complaint,neutral,12,False,app
2025-01-18,Central,Pothole Repair,frustrated,2,True,chatbot
2025-01-18,Northgate,Illegal Parking,neutral,1,True,app
2025-01-19,Harbour,Waste Collection,concerned,2,True,app
2025-01-19,Greenpark,Noise Complaint,urgent,8,False,email
2025-01-19,Harbour,Traffic Signal Issue,neutral,2,True,phone
2025-01-19,Northgate,Noise Complaint,concerned,2,True,chatbot
2025-01-19,Northgate,Illegal Parking,neutral,11,False,app
2025-01-19,Harbour,EV Charger Fault,satisfied,3,True,chatbot
2025-01-19,Northgate,Traffic Signal Issue,frustrated,5,True,social_media
2025-01-19,Central,Traffic Signal Issue,neutral,0,True,chatbot
2025-01-19,Greenpark,Illegal Parking,neutral,1,True,app
2025-01-19,Riverside,Waste Collection,urgent,6,True,phone
2025-01-19,Riverside,Waste Collection,concerned,10,False,social_media
2025-01-19,Riverside,Pothole Repair,neutral,6,True,email
2025-01-19,Central,Pothole Repair,concerned,11,False,app
2025-01-19,Riverside,Waste Collection,concerned,12,False,app
2025-01-19,Central,EV Charger Fault,concerned,0,True,email
2025-01-19,Riverside,Streetlight Outage,neutral,1,True,chatbot
2025-01-19,Harbour,Streetlight Outage,neutral,5,True,phone
2025-01-19,Central,Traffic Signal Issue,frustrated,8,False,phone
2025-01-19,Eastfield,Noise Complaint,neutral,2,True,app
2025-01-19,Greenpark,Traffic Signal Issue,concerned,2,True,email
2025-01-19,Riverside,Noise Complaint,frustrated,1,True,app
2025-01-19,Central,Waste Collection,urgent,2,True,phone
2025-01-19,Northgate,Streetlight Outage,satisfied,6,True,app
2025-01-19,Greenpark,Streetlight Outage,frustrated,6,True,chatbot
2025-01-20,Northgate,Traffic Signal Issue,concerned,2,True,phone
2025-01-20,Central,Streetlight Outage,satisfied,5,True,chatbot
2025-01-20,Central,Air Quality Concern,satisfied,3,True,phone
2025-01-20,Greenpark,Pothole Repair,neutral,14,False,email
2025-01-20,Northgate,Waste Collection,satisfied,11,False,phone
2025-01-20,Greenpark,Traffic Signal Issue,frustrated,2,True,app
2025-01-20,Eastfield,Noise Complaint,urgent,7,True,email
2025-01-20,Eastfield,EV Charger Fault,neutral,3,True,social_media
2025-01-20,Eastfield,Illegal Parking,concerned,1,True,email
2025-01-20,Greenpark,Streetlight Outage,concerned,14,False,phone
2025-01-20,Eastfield,EV Charger Fault,concerned,5,True,app
2025-01-20,Eastfield,Streetlight Outage,neutral,3,True,app
2025-01-20,Eastfield,Noise Complaint,concerned,3,True,email
2025-01-20,Harbour,Waste Collection,neutral,0,True,chatbot
2025-01-20,Eastfield,Illegal Parking,concerned,1,True,app
2025-01-20,Central,Waste Collection,frustrated,0,True,app
2025-01-20,Greenpark,Pothole Repair,frustrated,6,True,app
2025-01-20,Riverside,Pothole Repair,neutral,2,True,app
2025-01-20,Central,Waste Collection,frustrated,7,True,chatbot
2025-01-20,Eastfield,Illegal Parking,neutral,2,True,app
2025-01-20,Riverside,Air Quality Concern,neutral,3,True,phone
2025-01-20,Northgate,Waste Collection,urgent,9,False,email
2025-01-20,Central,Air Quality Concern,concerned,3,True,chatbot
2025-01-20,Northgate,Illegal Parking,frustrated,1,True,chatbot
2025-01-20,Riverside,Illegal Parking,neutral,2,True,phone
2025-01-21,Eastfield,Traffic Signal Issue,neutral,0,True,phone
2025-01-21,Riverside,Traffic Signal Issue,concerned,0,True,app
2025-01-21,Central,EV Charger Fault,concerned,2,True,app
2025-01-21,Harbour,Illegal Parking,frustrated,2,True,phone
2025-01-21,Greenpark,Waste Collection,frustrated,2,True,chatbot
2025-01-21,Harbour,Traffic Signal Issue,neutral,16,False,email
2025-01-21,Central,Streetlight Outage,concerned,3,True,email
2025-01-21,Eastfield,Pothole Repair,neutral,0,True,email
2025-01-21,Central,Air Quality Concern,neutral,4,True,chatbot
2025-01-21,Eastfield,EV Charger Fault,urgent,18,False,app
2025-01-21,Riverside,Noise Complaint,concerned,7,True,app
2025-01-21,Harbour,EV Charger Fault,concerned,4,True,app
2025-01-21,Riverside,Pothole Repair,neutral,4,True,app
2025-01-21,Central,EV Charger Fault,concerned,21,False,social_media
2025-01-21,Greenpark,Illegal Parking,concerned,4,True,chatbot
2025-01-21,Greenpark,Waste Collection,neutral,1,True,chatbot
2025-01-21,Greenpark,Pothole Repair,neutral,1,True,app
2025-01-21,Central,Noise Complaint,frustrated,2,True,phone
2025-01-21,Central,Waste Collection,neutral,14,False,chatbot
2025-01-21,Harbour,Streetlight Outage,frustrated,6,True,app
2025-01-21,Greenpark,Traffic Signal Issue,neutral,5,True,phone
2025-01-21,Eastfield,Pothole Repair,neutral,7,True,email
2025-01-21,Riverside,Waste Collection,concerned,5,True,email
2025-01-21,Eastfield,EV Charger Fault,concerned,5,True,phone
2025-01-22,Northgate,Pothole Repair,neutral,0,True,phone
2025-01-22,Harbour,Air Quality Concern,satisfied,10,False,email
2025-01-22,Riverside,Pothole Repair,frustrated,10,False,phone
2025-01-22,Central,Traffic Signal Issue,concerned,0,True,social_media
2025-01-22,Central,Streetlight Outage,neutral,7,True,app
2025-01-22,Harbour,Air Quality Concern,satisfied,22,False,phone
2025-01-22,Harbour,Streetlight Outage,neutral,11,False,app
2025-01-22,Riverside,Traffic Signal Issue,satisfied,0,True,app
2025-01-22,Northgate,Traffic Signal Issue,concerned,2,True,app
2025-01-22,Central,Traffic Signal Issue,neutral,0,True,phone
2025-01-22,Northgate,Pothole Repair,neutral,9,False,app
2025-01-22,Greenpark,Pothole Repair,neutral,0,True,phone
2025-01-22,Central,Pothole Repair,frustrated,1,True,chatbot
2025-01-23,Riverside,Air Quality Concern,urgent,3,True,app
2025-01-23,Central,Pothole Repair,frustrated,1,True,email
2025-01-23,Greenpark,Illegal Parking,neutral,1,True,email
2025-01-23,Harbour,Streetlight Outage,neutral,6,True,email
2025-01-23,Harbour,Pothole Repair,neutral,0,True,phone
2025-01-23,Eastfield,Noise Complaint,neutral,2,True,app
2025-01-23,Eastfield,Streetlight Outage,concerned,3,True,app
2025-01-23,Northgate,Noise Complaint,concerned,14,False,email
2025-01-23,Northgate,Illegal Parking,neutral,5,True,phone
2025-01-23,Riverside,Waste Collection,neutral,4,True,app
2025-01-23,Eastfield,Streetlight Outage,concerned,0,True,social_media
2025-01-23,Northgate,Traffic Signal Issue,neutral,4,True,social_media
2025-01-23,Eastfield,Noise Complaint,neutral,4,True,social_media
2025-01-23,Central,Pothole Repair,urgent,2,True,app
2025-01-23,Riverside,Air Quality Concern,frustrated,2,True,app
2025-01-23,Northgate,Illegal Parking,neutral,3,True,phone
2025-01-23,Harbour,Waste Collection,concerned,6,True,phone
2025-01-23,Harbour,Noise Complaint,neutral,0,True,email
2025-01-24,Central,Pothole Repair,concerned,7,True,phone
2025-01-24,Northgate,Pothole Repair,frustrated,1,True,email
2025-01-24,Harbour,Streetlight Outage,concerned,0,True,phone
2025-01-24,Greenpark,Waste Collection,concerned,4,True,chatbot
2025-01-24,Northgate,Pothole Repair,concerned,7,True,app
2025-01-24,Greenpark,Illegal Parking,urgent,1,True,phone
2025-01-24,Central,Air Quality Concern,frustrated,2,True,email
2025-01-24,Harbour,Traffic Signal Issue,frustrated,9,False,app
2025-01-24,Harbour,EV Charger Fault,satisfied,0,True,chatbot
2025-01-24,Greenpark,Waste Collection,frustrated,6,True,email
2025-01-24,Northgate,Air Quality Concern,neutral,19,False,social_media
2025-01-24,Northgate,Streetlight Outage,concerned,1,True,app
2025-01-24,Riverside,Waste Collection,frustrated,0,True,phone
2025-01-24,Greenpark,Pothole Repair,neutral,2,True,app
2025-01-24,Harbour,Noise Complaint,neutral,3,True,social_media
2025-01-25,Central,Air Quality Concern,concerned,16,False,app
2025-01-25,Riverside,Traffic Signal Issue,urgent,2,True,app
2025-01-25,Eastfield,Waste Collection,concerned,5,True,chatbot
2025-01-25,Northgate,Streetlight Outage,concerned,3,True,chatbot
2025-01-25,Riverside,Pothole Repair,frustrated,5,True,email
2025-01-25,Eastfield,EV Charger Fault,urgent,9,False,app
2025-01-25,Central,Waste Collection,urgent,3,True,chatbot
2025-01-25,Northgate,EV Charger Fault,urgent,5,True,phone
2025-01-25,Central,Illegal Parking,satisfied,4,True,phone
2025-01-25,Northgate,Pothole Repair,frustrated,4,True,phone
2025-01-25,Central,Pothole Repair,urgent,6,True,phone
2025-01-25,Central,Waste Collection,urgent,2,True,email
2025-01-25,Central,Waste Collection,concerned,12,False,chatbot
2025-01-25,Eastfield,Streetlight Outage,neutral,8,False,app
2025-01-25,Riverside,Illegal Parking,neutral,1,True,app
2025-01-25,Northgate,Pothole Repair,urgent,26,False,phone
2025-01-25,Greenpark,EV Charger Fault,frustrated,3,True,email
2025-01-25,Eastfield,Noise Complaint,frustrated,6,True,email
2025-01-25,Harbour,Illegal Parking,urgent,8,False,email
2025-01-25,Central,Pothole Repair,frustrated,6,True,app
2025-01-25,Central,Pothole Repair,frustrated,5,True,phone
2025-01-26,Eastfield,Waste Collection,neutral,0,True,app
2025-01-26,Eastfield,Illegal Parking,frustrated,4,True,app
2025-01-26,Central,Illegal Parking,frustrated,1,True,phone
2025-01-26,Eastfield,EV Charger Fault,neutral,3,True,chatbot
2025-01-26,Central,Pothole Repair,urgent,0,True,social_media
2025-01-26,Riverside,EV Charger Fault,neutral,18,False,email
2025-01-26,Greenpark,Pothole Repair,concerned,3,True,social_media
2025-01-26,Greenpark,Streetlight Outage,concerned,0,True,phone
2025-01-26,Riverside,Waste Collection,concerned,3,True,social_media
2025-01-26,Central,Noise Complaint,urgent,2,True,app
