date,district,consumption_kwh,renewable_pct,ev_charging_kwh,peak_demand_kw
2025-01-27,Eastfield,3421.0,51.0,167.8,590.2
2025-01-27,Harbour,5122.0,25.3,214.7,868.8
2025-01-27,Greenpark,2602.6,56.2,563.6,394.9
2025-01-28,Central,5887.4,58.7,536.5,880.5
2025-01-28,Riverside,4476.8,38.6,273.4,614.6
2025-01-28,Northgate,3327.5,49.0,284.1,499.1
2025-01-28,Eastfield,3019.8,19.7,404.1,375.7
2025-01-28,Harbour,4361.9,36.1,304.2,741.1
2025-01-28,Greenpark,2715.7,46.1,426.9,428.3
2025-01-29,Central,6049.4,51.0,486.1,981.1
2025-01-29,Riverside,4174.9,47.8,324.6,681.3
2025-01-29,Northgate,4187.2,32.8,262.9,625.0
2025-01-29,Eastfield,3560.9,37.8,442.2,501.3
2025-01-29,Harbour,4949.6,35.4,518.2,621.8
2025-01-29,Greenpark,2478.0,19.4,423.3,405.4
2025-01-30,Central,6278.7,28.5,240.5,820.0
2025-01-30,Riverside,4675.6,52.0,426.9,660.8
2025-01-30,Northgate,3847.4,30.2,257.5,657.4
2025-01-30,Eastfield,3623.7,39.7,229.7,437.5
2025-01-30,Harbour,3929.6,54.0,496.5,565.3
2025-01-30,Greenpark,2429.1,59.1,431.9,435.2
2025-01-31,Central,5532.7,46.2,339.7,793.5
2025-01-31,Riverside,4394.4,34.2,273.5,623.8
2025-01-31,Northgate,3800.7,44.7,153.2,493.4
2025-01-31,Eastfield,3078.8,27.9,400.7,540.8
2025-01-31,Harbour,4555.5,39.1,231.7,769.1
2025-01-31,Greenpark,2572.4,27.2,356.9,387.1
2025-02-01,Central,5239.2,34.3,444.1,892.0
2025-02-01,Riverside,4262.1,53.5,318.6,552.9
2025-02-01,Northgate,3739.8,52.3,513.8,496.1
2025-02-01,Eastfield,3461.2,39.1,513.8,439.3
2025-02-01,Harbour,4781.7,44.6,87.2,846.2
2025-02-01,Greenpark,2543.4,42.8,273.3,386.9
2025-02-02,Central,6646.2,49.1,342.7,1133.1
2025-02-02,Riverside,3772.1,37.3,201.4,462.3
2025-02-02,Northgate,3162.3,36.0,150.9,497.2
2025-02-02,Eastfield,3194.7,44.0,310.1,425.2
2025-02-02,Harbour,4607.3,52.6,248.7,612.6
2025-02-02,Greenpark,2333.3,35.6,352.9,355.7
2025-02-03,Central,6028.7,63.2,564.3,789.5
2025-02-03,Riverside,3986.1,28.9,396.5,612.0
2025-02-03,Northgate,3592.4,33.6,391.3,639.3
2025-02-03,Eastfield,2917.3,15.0,331.7,372.2
2025-02-03,Harbour,5169.7,53.2,225.3,723.0
2025-02-03,Greenpark,2389.8,45.2,330.9,296.3
2025-02-04,Central,6011.0,49.4,466.2,770.7
2025-02-04,Riverside,3942.9,52.7,526.0,601.7
2025-02-04,Northgate,3258.1,52.5,408.6,574.3
2025-02-04,Eastfield,3285.2,48.4,449.4,560.9
2025-02-04,Harbour,4826.1,59.6,397.8,634.2
2025-02-04,Greenpark,2605.0,44.5,378.2,453.0
2025-02-05,Central,6141.3,30.7,439.1,789.7
2025-02-05,Riverside,4531.6,31.6,229.3,606.9
2025-02-05,Northgate,3199.4,32.7,476.6,447.7
2025-02-05,Eastfield,2905.0,32.1,639.5,436.7
2025-02-05,Harbour,5024.0,40.9,191.6,710.1
2025-02-05,Greenpark,2638.4,19.2,272.6,389.2
2025-02-06,Central,5408.9,33.0,282.4,704.5
2025-02-06,Riverside,3924.3,50.0,378.2,605.8
2025-02-06,Northgate,3200.3,40.9,313.2,494.2
2025-02-06,Eastfield,3113.5,29.4,276.7,450.3
2025-02-06,Harbour,4756.2,37.9,433.9,625.6
2025-02-06,Greenpark,2379.7,52.5,318.5,311.6
2025-02-07,Central,5037.7,47.1,397.3,785.4
2025-02-07,Riverside,3985.2,14.0,323.1,645.3
2025-02-07,Northgate,3372.8,24.5,297.9,452.4
2025-02-07,Eastfield,3563.7,35.9,254.7,552.7
2025-02-07,Harbour,4296.6,52.7,422.2,659.1
2025-02-07,Greenpark,2144.4,25.6,525.8,260.1
2025-02-08,Central,5734.3,49.9,532.9,1017.5
2025-02-08,Riverside,4248.3,27.3,248.1,748.4
2025-02-08,Northgate,3197.9,18.7,145.4,409.4
2025-02-08,Eastfield,2967.3,54.2,333.6,519.5
2025-02-08,Harbour,4323.7,48.4,449.2,758.5
2025-02-08,Greenpark,2593.2,26.8,456.5,423.3
2025-02-09,Central,6002.6,41.8,285.9,962.9
2025-02-09,Riverside,4081.5,67.2,324.7,523.4
2025-02-09,Northgate,3561.9,45.5,533.0,539.4
2025-02-09,Eastfield,2891.4,28.9,261.8,369.7
2025-02-09,Harbour,4989.9,71.8,368.0,831.9
2025-02-09,Greenpark,2983.3,34.0,452.3,534.5
2025-02-10,Central,5609.5,45.3,417.5,999.0
2025-02-10,Riverside,4737.6,43.6,521.6,772.8
2025-02-10,Northgate,3297.9,52.4,620.5,443.8
2025-02-10,Eastfield,3282.4,48.7,6.2,520.8
2025-02-10,Harbour,5110.4,33.0,305.9,747.8
2025-02-10,Greenpark,2353.9,17.6,404.4,306.1
2025-02-11,Central,5847.4,50.8,228.9,890.1
2025-02-11,Riverside,4515.2,29.7,450.5,657.0
2025-02-11,Northgate,3425.8,58.9,354.5,437.8
2025-02-11,Eastfield,3484.5,38.3,281.6,489.1
2025-02-11,Harbour,4493.5,45.5,236.5,619.4
2025-02-11,Greenpark,2408.2,26.7,286.6,387.6
2025-02-12,Central,6640.6,59.7,431.6,858.4
2025-02-12,Riverside,4245.6,35.9,445.4,727.7
2025-02-12,Northgate,3627.9,33.7,319.9,589.4
2025-02-12,Eastfield,3119.0,46.8,439.7,556.3
2025-02-12,Harbour,4369.2,53.0,235.5,557.8
2025-02-12,Greenpark,2744.0,35.2,359.6,428.7
2025-02-13,Central,5309.3,52.2,291.6,826.7
2025-02-13,Riverside,4028.7,33.6,439.0,568.8
2025-02-13,Northgate,3538.1,55.3,369.6,457.6
2025-02-13,Eastfield,3429.9,46.4,462.8,477.2
2025-02-13,Harbour,5205.9,42.5,324.4,638.1
2025-02-13,Greenpark,2632.7,46.2,430.2,444.7
2025-02-14,Central,5517.2,52.3,533.8,870.7
2025-02-14,Riverside,3565.1,45.2,349.7,477.6
2025-02-14,Northgate,3432.7,46.2,346.5,474.6
2025-02-14,Eastfield,3396.5,45.1,254.4,453.1
2025-02-14,Harbour,4468.3,52.8,416.7,743.6
2025-02-14,Greenpark,2470.3,49.5,314.5,347.0
2025-02-15,Central,6168.5,59.0,478.3,775.6
2025-02-15,Riverside,3824.0,45.3,298.2,573.4
2025-02-15,Northgate,3766.5,40.7,283.6,510.2
2025-02-15,Eastfield,2985.2,25.7,350.3,449.2
2025-02-15,Harbour,4134.2,47.7,453.4,604.1
2025-02-15,Greenpark,2482.6,37.6,337.8,362.7
2025-02-16,Central,5999.7,15.0,306.2,857.7
2025-02-16,Riverside,3500.1,53.4,292.3,542.8
2025-02-16,Northgate,3703.8,62.0,406.5,656.8
2025-02-16,Eastfield,3363.4,49.2,205.7,506.1
2025-02-16,Harbour,4596.3,34.4,315.7,661.8
2025-02-16,Greenpark,2524.1,31.0,349.5,444.1
2025-02-17,Central,5191.5,28.6,424.8,844.1
2025-02-17,Riverside,4032.0,45.7,361.9,570.4
2025-02-17,Northgate,3648.1,28.6,322.3,544.1
2025-02-17,Eastfield,3147.5,36.6,429.9,469.6
2025-02-17,Harbour,4794.1,30.7,276.4,626.5
2025-02-17,Greenpark,2606.9,57.5,209.9,336.7
2025-02-18,Central,6491.5,24.8,272.1,1149.8
2025-02-18,Riverside,3559.8,41.3,481.0,588.3
2025-02-18,Northgate,3654.3,57.4,220.2,538.1
2025-02-18,Eastfield,3351.4,23.5,287.5,427.8
2025-02-18,Harbour,4925.4,38.4,439.3,736.4
2025-02-18,Greenpark,2447.3,52.7,453.2,389.3
2025-02-19,Central,5666.0,34.3,398.4,883.3
2025-02-19,Riverside,4374.1,48.4,266.9,551.0
2025-02-19,Northgate,3376.1,37.0,588.3,440.2
2025-02-19,Eastfield,3395.0,37.4,321.4,484.5
2025-02-19,Harbour,4710.2,41.5,363.4,809.8
2025-02-19,Greenpark,2376.1,35.2,286.8,398.6
2025-02-20,Central,5095.3,46.5,406.1,689.1
2025-02-20,Riverside,3740.6,34.1,457.2,624.6
2025-02-20,Northgate,3161.5,67.4,294.0,407.6
2025-02-20,Eastfield,2997.2,38.6,450.9,435.5
2025-02-20,Harbour,4845.5,44.8,210.9,592.5
2025-02-20,Greenpark,2315.7,48.8,384.1,313.0
2025-02-21,Central,5782.0,36.1,377.8,835.4
2025-02-21,Riverside,4942.8,39.1,348.0,660.2
2025-02-21,Northgate,3449.7,39.9,418.9,551.0
2025-02-21,Eastfield,3174.8,41.1,479.4,467.0
2025-02-21,Harbour,4478.1,35.4,189.9,541.4
2025-02-21,Greenpark,2856.6,23.6,505.1,490.0
2025-02-22,Central,5318.5,40.6,446.1,834.5
2025-02-22,Riverside,4311.6,28.3,419.0,603.9
2025-02-22,Northgate,3819.8,27.6,473.0,662.0
2025-02-22,Eastfield,3145.9,58.3,318.7,472.4
2025-02-22,Harbour,4492.0,40.9,507.4,646.6
2025-02-22,Greenpark,2849.0,21.7,201.1,413.2
2025-02-23,Central,5578.2,21.2,628.8,966.1
2025-02-23,Riverside,4519.9,27.4,313.3,778.2
2025-02-23,Northgate,3645.8,22.4,221.5,584.8
2025-02-23,Eastfield,3415.8,35.1,372.7,485.0
2025-02-23,Harbour,4762.3,48.9,311.9,617.2
2025-02-23,Greenpark,2422.2,31.7,327.8,348.3
2025-02-24,Central,5244.8,36.6,424.1,720.0
2025-02-24,Riverside,4197.3,48.0,377.5,711.7
2025-02-24,Northgate,3443.4,42.3,587.5,510.8
2025-02-24,Eastfield,3206.9,43.2,442.9,460.4
2025-02-24,Harbour,5181.1,47.8,353.8,795.0
2025-02-24,Greenpark,2451.6,50.7,401.6,335.4
2025-02-25,Central,6799.2,53.8,356.1,1121.7
2025-02-25,Riverside,4203.6,37.6,21.2,626.9
2025-02-25,Northgate,3821.0,53.0,409.8,602.5
2025-02-25,Eastfield,3204.1,33.6,377.3,568.3
2025-02-25,Harbour,4841.9,24.7,78.9,790.9
2025-02-25,Greenpark,2627.5,48.0,540.3,465.1
2025-02-26,Central,6408.3,43.7,517.2,849.6
2025-02-26,Riverside,4038.2,37.7,314.3,663.5
2025-02-26,Northgate,3687.0,46.1,248.4,521.8
2025-02-26,Eastfield,3379.0,44.6,547.5,412.3
2025-02-26,Harbour,4533.8,34.4,473.4,691.4
2025-02-26,Greenpark,2540.0,49.1,206.2,406.3
2025-02-27,Central,6126.4,45.1,325.3,947.7
2025-02-27,Riverside,3883.6,42.4,416.5,622.6
2025-02-27,Northgate,3496.7,37.6,500.2,531.1
2025-02-27,Eastfield,3444.4,48.4,341.8,589.0
2025-02-27,Harbour,4767.7,31.5,333.2,764.2
2025-02-27,Greenpark,2292.9,50.9,177.7,329.2
2025-02-28,Central,5723.9,37.2,304.2,1029.4
2025-02-28,Riverside,4265.2,35.5,173.3,741.9
2025-02-28,Northgate,3904.9,10.0,422.6,514.7
2025-02-28,Eastfield,3113.0,45.0,526.9,400.1
2025-02-28,Harbour,5596.0,40.7,372.3,728.7
2025-02-28,Greenpark,2394.1,56.0,516.3,312.4
2025-03-01,Central,6108.1,47.7,418.4,1020.6
2025-03-01,Riverside,3776.8,71.0,505.4,561.8
2025-03-01,Northgate,2819.7,18.2,365.7,381.0
2025-03-01,Eastfield,2300.0,31.2,290.0,290.0
2025-03-01,Harbour,4621.8,57.2,194.8,676.8
2025-03-01,Greenpark,2491.3,53.5,443.5,393.0
2025-03-02,Central,4973.4,52.6,566.0,597.5
2025-03-02,Riverside,4009.3,41.9,407.9,677.0
2025-03-02,Northgate,3328.4,36.6,236.6,526.5
2025-03-02,Eastfield,3014.4,46.0,123.2,481.2
2025-03-02,Harbour,4485.8,31.4,414.8,637.3
2025-03-02,Greenpark,2197.2,60.6,454.9,359.7
2025-03-03,Central,4340.9,57.5,39.1,714.6
2025-03-03,Riverside,3612.6,54.7,331.1,607.7
2025-03-03,Northgate,3606.5,45.7,632.8,603.0
2025-03-03,Eastfield,2726.0,42.6,299.4,430.1
2025-03-03,Harbour,3610.4,39.5,586.8,524.5
2025-03-03,Greenpark,2046.0,67.9,424.8,360.4
2025-03-04,Central,4193.0,64.8,82.9,513.0
2025-03-04,Riverside,3449.9,68.7,433.2,569.0
2025-03-04,Northgate,3454.9,40.9,398.1,499.2
2025-03-04,Eastfield,3143.1,10.0,391.4,551.7
2025-03-04,Harbour,5000.5,39.1,508.7,609.9
2025-03-04,Greenpark,2627.7,47.8,522.7,427.2
2025-03-05,Central,4793.6,30.1,364.1,860.3
2025-03-05,Riverside,4014.9,44.5,263.3,708.3
2025-03-05,Northgate,3268.9,25.5,284.1,491.3
2025-03-05,Eastfield,2721.1,52.2,379.7,370.5
2025-03-05,Harbour,4421.9,46.8,158.3,697.5
2025-03-05,Greenpark,2244.3,28.0,331.2,307.4
2025-03-06,Central,5675.2,40.0,360.7,943.0
2025-03-06,Riverside,3143.8,37.6,311.2,523.8
2025-03-06,Northgate,2711.3,49.5,387.4,357.8
2025-03-06,Eastfield,2658.2,37.1,367.7,460.3
2025-03-06,Harbour,4441.7,20.6,461.6,564.1
2025-03-06,Greenpark,2383.6,44.8,475.7,421.4
2025-03-07,Central,5303.0,46.9,219.6,642.7
2025-03-07,Riverside,3861.0,54.5,162.2,565.3
2025-03-07,Northgate,3305.7,57.0,246.2,545.2
2025-03-07,Eastfield,2966.7,44.3,490.2,404.7
2025-03-07,Harbour,4190.7,40.3,500.7,714.6
2025-03-07,Greenpark,2129.5,68.7,122.7,287.4
2025-03-08,Central,5605.2,61.6,270.2,818.4
2025-03-08,Riverside,3666.4,60.0,481.1,549.2
2025-03-08,Northgate,3187.2,30.9,348.1,456.2
2025-03-08,Eastfield,3091.6,49.6,215.8,492.4
2025-03-08,Harbour,4783.8,13.9,154.6,742.6
2025-03-08,Greenpark,2327.2,19.8,462.1,343.5
2025-03-09,Central,5268.5,53.8,445.1,849.9
2025-03-09,Riverside,3627.2,52.3,391.2,550.7
2025-03-09,Northgate,3286.6,12.1,221.8,574.8
2025-03-09,Eastfield,2682.9,43.0,321.9,329.2
2025-03-09,Harbour,4548.0,31.0,314.7,555.0
2025-03-09,Greenpark,2326.5,50.6,213.8,362.7
2025-03-10,Central,5475.8,25.3,266.9,910.6
2025-03-10,Riverside,2984.7,41.9,156.3,521.2
2025-03-10,Northgate,2721.7,51.0,417.6,391.3
2025-03-10,Eastfield,2543.8,39.7,431.1,337.0
2025-03-10,Harbour,4300.9,43.6,217.8,705.8
2025-03-10,Greenpark,2242.7,42.6,229.2,385.6
2025-03-11,Central,4656.1,62.2,414.9,643.7
2025-03-11,Riverside,3959.6,31.5,376.2,584.6
2025-03-11,Northgate,3087.1,45.5,508.1,386.2
2025-03-11,Eastfield,2781.4,63.7,460.1,476.5
2025-03-11,Harbour,3817.9,55.0,462.4,476.2
2025-03-11,Greenpark,2617.5,47.2,406.3,412.6
2025-03-12,Central,5946.5,39.2,459.4,1063.9
2025-03-12,Riverside,3367.7,29.1,420.5,471.1
2025-03-12,Northgate,3998.2,39.6,446.7,643.2
2025-03-12,Eastfield,2653.8,19.4,315.4,415.1
2025-03-12,Harbour,4605.7,34.8,141.3,696.6
2025-03-12,Greenpark,2324.9,23.1,476.9,397.1
2025-03-13,Central,5046.4,53.5,305.4,653.7
2025-03-13,Riverside,3588.1,40.7,319.1,488.2
2025-03-13,Northgate,3068.7,36.4,352.3,373.6
2025-03-13,Eastfield,3075.8,50.1,328.4,501.5
2025-03-13,Harbour,4354.2,31.5,364.6,531.8
2025-03-13,Greenpark,2115.5,35.6,513.1,379.9
2025-03-14,Central,5122.2,35.7,161.3,696.1
2025-03-14,Riverside,3792.4,46.3,289.9,528.9
2025-03-14,Northgate,3388.8,58.7,532.3,593.3
2025-03-14,Eastfield,2985.8,54.4,342.4,471.2
2025-03-14,Harbour,4418.5,54.2,570.4,715.0
2025-03-14,Greenpark,2383.3,28.5,172.8,413.8
2025-03-15,Central,4852.5,22.3,374.3,793.2
2025-03-15,Riverside,3809.9,23.2,422.5,571.9
2025-03-15,Northgate,2957.4,47.3,327.1,531.3
2025-03-15,Eastfield,2866.6,50.2,37.2,475.8
2025-03-15,Harbour,4730.1,42.4,353.6,689.4
2025-03-15,Greenpark,2280.9,49.5,334.5,336.2
2025-03-16,Central,5260.9,33.4,437.5,868.2
2025-03-16,Riverside,3585.8,39.9,392.1,639.0
2025-03-16,Northgate,4073.7,30.3,511.4,665.3
2025-03-16,Eastfield,2479.5,31.3,398.1,301.9
2025-03-16,Harbour,3974.7,51.2,434.0,507.5
2025-03-16,Greenpark,2173.5,40.6,243.8,320.8
2025-03-17,Central,4987.8,49.1,303.2,602.4
2025-03-17,Riverside,3692.4,50.0,515.5,538.7
2025-03-17,Northgate,2435.6,67.6,244.9,396.6
2025-03-17,Eastfield,3095.3,29.5,519.0,530.8
2025-03-17,Harbour,4121.9,50.8,475.6,635.8
2025-03-17,Greenpark,1786.5,57.0,484.4,291.6
2025-03-18,Central,4989.7,34.5,427.7,874.1
2025-03-18,Riverside,3921.9,46.9,128.6,479.1
2025-03-18,Northgate,3007.8,35.5,187.5,507.2
2025-03-18,Eastfield,2607.9,49.0,410.7,465.9
2025-03-18,Harbour,4008.3,36.7,352.5,501.7
2025-03-18,Greenpark,2332.5,63.3,364.3,327.3
2025-03-19,Central,4700.1,23.7,518.5,608.7
2025-03-19,Riverside,3308.8,55.0,158.7,539.2
2025-03-19,Northgate,3243.1,42.0,494.5,414.9
2025-03-19,Eastfield,3153.3,52.7,343.5,473.6
2025-03-19,Harbour,4528.2,38.7,179.6,688.7
2025-03-19,Greenpark,2670.7,43.9,571.9,449.8
2025-03-20,Central,5590.5,47.7,448.7,681.1
2025-03-20,Riverside,3707.4,58.9,617.2,484.7
2025-03-20,Northgate,3679.2,39.4,420.9,459.0
2025-03-20,Eastfield,2538.4,25.3,456.8,418.3
2025-03-20,Harbour,4584.4,39.5,56.4,742.6
2025-03-20,Greenpark,2318.4,41.9,373.3,291.1
2025-03-21,Central,4925.5,53.5,470.0,881.4
2025-03-21,Riverside,3077.2,28.2,45.5,390.4
2025-03-21,Northgate,3701.4,47.0,197.9,577.5
2025-03-21,Eastfield,2981.0,47.5,281.9,524.1
2025-03-21,Harbour,4546.0,32.3,452.5,692.0
