date,district,transactions,revenue_gbp,violations,avg_duration_mins,occupancy_pct
2025-01-15,Northgate,125,481.45,12,60.8,80.0
2025-01-15,Eastfield,123,439.66,15,103.3,60.8
2025-01-15,Harbour,238,966.4,19,99.2,89.3
2025-01-15,Greenpark,110,408.15,9,111.1,92.5
2025-01-16,Central,191,555.64,19,51.7,93.7
2025-01-16,Riverside,180,638.06,13,132.6,73.1
2025-01-16,Northgate,173,880.07,6,94.6,83.9
2025-01-16,Eastfield,99,538.57,2,43.3,70.7
2025-01-16,Harbour,145,395.5,14,67.5,79.3
2025-01-16,Greenpark,106,415.72,7,70.4,79.6
2025-01-17,Central,208,630.45,11,59.1,69.1
2025-01-17,Riverside,158,722.25,1,77.5,75.2
2025-01-17,Northgate,133,654.17,9,76.6,80.7
2025-01-17,Eastfield,94,371.64,4,57.1,92.5
2025-01-17,Harbour,241,629.02,17,116.3,57.2
2025-01-17,Greenpark,94,385.06,10,91.8,57.7
2025-01-18,Central,138,456.47,11,90.3,71.3
2025-01-18,Riverside,106,369.14,6,137.2,85.2
2025-01-18,Northgate,112,309.21,13,154.4,87.2
2025-01-18,Eastfield,80,230.62,10,73.1,51.3
2025-01-18,Harbour,181,645.86,24,95.7,73.9
2025-01-18,Greenpark,73,215.98,5,78.7,64.7
2025-01-19,Central,171,516.44,9,32.4,82.3
2025-01-19,Riverside,139,708.42,10,80.6,83.3
2025-01-19,Northgate,122,645.15,6,146.1,96.3
2025-01-19,Eastfield,101,309.17,5,75.9,44.9
2025-01-19,Harbour,112,318.59,9,56.9,84.0
2025-01-19,Greenpark,62,244.49,5,78.7,72.7
2025-01-20,Central,195,524.57,13,80.0,83.4
2025-01-20,Riverside,186,797.37,19,33.2,60.0
2025-01-20,Northgate,149,743.79,11,99.2,73.3
2025-01-20,Eastfield,113,567.88,14,103.4,65.8
2025-01-20,Harbour,172,514.76,11,108.6,87.5
2025-01-20,Greenpark,58,297.63,5,125.0,65.9
2025-01-21,Central,148,575.43,7,121.3,59.3
2025-01-21,Riverside,113,587.46,9,115.7,38.8
2025-01-21,Northgate,141,401.95,14,99.1,80.5
2025-01-21,Eastfield,88,429.62,5,110.8,99.0
2025-01-21,Harbour,193,570.32,16,67.7,59.7
2025-01-21,Greenpark,118,605.38,10,120.9,64.3
2025-01-22,Central,219,1071.32,11,84.3,63.7
2025-01-22,Riverside,182,805.07,19,105.3,99.0
2025-01-22,Northgate,117,356.24,4,99.3,84.5
2025-01-22,Eastfield,88,470.08,0,102.0,55.1
2025-01-22,Harbour,267,682.01,22,139.6,80.9
2025-01-22,Greenpark,97,286.89,9,142.1,92.2
2025-01-23,Central,292,1548.51,18,92.7,83.7
2025-01-23,Riverside,225,831.83,21,91.0,65.6
2025-01-23,Northgate,112,460.56,3,89.3,81.4
2025-01-23,Eastfield,127,489.8,7,88.5,49.5
2025-01-23,Harbour,179,715.12,12,115.1,69.6
2025-01-23,Greenpark,111,488.04,2,88.3,55.4
2025-01-24,Central,331,894.11,27,75.4,82.1
2025-01-24,Riverside,153,470.03,12,94.2,63.8
2025-01-24,Northgate,119,574.36,9,129.7,32.1
2025-01-24,Eastfield,67,279.99,2,86.4,66.4
2025-01-24,Harbour,142,629.34,8,86.0,71.0
2025-01-24,Greenpark,101,452.15,5,113.0,55.1
2025-01-25,Central,174,775.73,16,86.2,68.6
2025-01-25,Riverside,148,749.93,7,86.0,89.4
2025-01-25,Northgate,92,310.91,9,53.3,98.5
2025-01-25,Eastfield,68,247.46,3,56.1,81.1
2025-01-25,Harbour,122,507.05,16,51.2,63.8
2025-01-25,Greenpark,91,445.86,7,85.9,71.1
2025-01-26,Central,201,884.49,5,79.4,65.7
2025-01-26,Riverside,101,335.01,8,99.9,57.3
2025-01-26,Northgate,121,538.97,3,83.3,79.9
2025-01-26,Eastfield,111,498.96,14,49.0,52.8
2025-01-26,Harbour,139,416.84,11,86.3,75.0
2025-01-26,Greenpark,58,212.74,5,71.9,51.7
2025-01-27,Central,191,802.05,21,147.0,67.4
2025-01-27,Riverside,159,500.03,13,80.6,73.8
2025-01-27,Northgate,195,683.03,15,86.2,75.6
2025-01-27,Eastfield,107,426.55,7,79.3,99.0
2025-01-27,Harbour,210,1028.63,13,67.8,85.9
2025-01-27,Greenpark,65,180.36,7,93.1,81.3
2025-01-28,Central,236,1208.05,9,115.4,81.3
2025-01-28,Riverside,191,964.09,21,93.2,47.1
2025-01-28,Northgate,145,441.05,12,115.5,74.0
2025-01-28,Eastfield,112,606.28,8,94.0,82.2
2025-01-28,Harbour,188,649.97,15,59.9,79.5
2025-01-28,Greenpark,77,359.92,9,90.3,65.4
2025-01-29,Central,287,991.95,24,116.7,76.2
2025-01-29,Riverside,120,308.78,11,97.1,88.0
2025-01-29,Northgate,123,484.57,15,118.0,76.7
2025-01-29,Eastfield,74,348.74,2,84.5,67.8
2025-01-29,Harbour,144,488.01,7,46.7,53.9
2025-01-29,Greenpark,76,406.59,7,119.6,68.8
2025-01-30,Central,227,985.23,22,124.2,96.3
2025-01-30,Riverside,114,345.37,9,79.4,63.7
2025-01-30,Northgate,120,320.82,13,85.7,54.4
2025-01-30,Eastfield,118,349.48,13,81.2,81.5
2025-01-30,Harbour,194,830.09,6,74.0,74.5
2025-01-30,Greenpark,88,254.19,8,102.1,77.0
2025-01-31,Central,255,704.04,35,51.3,53.1
2025-01-31,Riverside,180,717.77,9,82.1,75.4
2025-01-31,Northgate,135,532.14,15,125.1,77.1
2025-01-31,Eastfield,128,537.24,5,109.6,66.6
2025-01-31,Harbour,207,1045.71,23,105.1,82.7
2025-01-31,Greenpark,102,463.12,10,129.6,81.7
2025-02-01,Central,197,690.56,16,77.8,79.4
2025-02-01,Riverside,148,595.32,13,99.8,72.7
2025-02-01,Northgate,93,409.39,9,132.4,75.2
2025-02-01,Eastfield,96,395.88,6,92.6,76.2
2025-02-01,Harbour,182,510.97,15,99.4,78.1
2025-02-01,Greenpark,80,369.96,5,98.3,61.5
2025-02-02,Central,242,638.21,8,104.2,64.1
2025-02-02,Riverside,135,649.52,2,81.1,99.0
2025-02-02,Northgate,92,275.16,1,111.2,86.8
2025-02-02,Eastfield,109,361.86,13,111.3,70.5
2025-02-02,Harbour,216,797.64,10,117.4,68.9
2025-02-02,Greenpark,73,189.32,4,63.7,93.7
2025-02-03,Central,240,1297.1,27,101.7,68.5
2025-02-03,Riverside,185,931.35,18,111.1,91.9
2025-02-03,Northgate,148,723.66,14,69.2,71.3
2025-02-03,Eastfield,117,443.54,6,94.0,50.5
2025-02-03,Harbour,203,671.32,12,79.1,86.9
2025-02-03,Greenpark,95,258.15,7,83.7,35.6
2025-02-04,Central,181,829.88,18,104.3,79.2
2025-02-04,Riverside,165,464.44,10,94.9,54.6
2025-02-04,Northgate,179,748.03,19,73.1,72.6
2025-02-04,Eastfield,106,289.99,8,70.0,67.8
2025-02-04,Harbour,258,1264.65,25,82.7,65.3
2025-02-04,Greenpark,104,480.42,5,96.5,62.3
2025-02-05,Central,271,1258.05,24,80.5,88.3
2025-02-05,Riverside,169,836.87,18,146.9,61.7
2025-02-05,Northgate,184,505.06,15,69.2,64.1
2025-02-05,Eastfield,122,487.34,13,138.2,78.5
2025-02-05,Harbour,201,622.82,16,82.4,75.2
2025-02-05,Greenpark,117,547.74,8,82.9,95.6
2025-02-06,Central,195,1065.27,7,56.0,99.0
2025-02-06,Riverside,163,834.6,21,90.7,85.3
2025-02-06,Northgate,159,832.7,5,108.3,53.2
2025-02-06,Eastfield,135,390.78,13,107.4,75.9
2025-02-06,Harbour,181,979.97,10,103.1,67.6
2025-02-06,Greenpark,73,373.19,5,114.3,29.3
2025-02-07,Central,289,864.28,8,104.4,70.7
2025-02-07,Riverside,188,653.41,8,83.3,77.2
2025-02-07,Northgate,143,458.77,13,42.6,75.8
2025-02-07,Eastfield,106,344.09,12,132.5,84.8
2025-02-07,Harbour,188,490.68,13,116.2,90.3
2025-02-07,Greenpark,119,585.12,9,120.8,75.6
2025-02-08,Central,194,641.99,14,96.2,61.7
2025-02-08,Riverside,135,715.72,6,97.0,42.0
2025-02-08,Northgate,138,533.26,12,42.5,99.0
2025-02-08,Eastfield,79,204.6,7,122.7,56.4
2025-02-08,Harbour,183,989.98,8,101.9,62.2
2025-02-08,Greenpark,97,294.05,7,116.8,79.4
2025-02-09,Central,208,830.24,18,119.1,76.6
2025-02-09,Riverside,128,677.48,10,122.6,89.8
2025-02-09,Northgate,132,485.97,6,75.7,76.4
2025-02-09,Eastfield,107,518.65,7,135.3,78.8
2025-02-09,Harbour,159,553.49,17,121.2,80.5
2025-02-09,Greenpark,92,350.22,9,91.2,73.9
2025-02-10,Central,237,823.28,19,63.0,47.3
2025-02-10,Riverside,142,546.14,17,79.0,52.2
2025-02-10,Northgate,182,793.24,20,38.8,61.8
2025-02-10,Eastfield,112,441.01,12,60.3,47.3
2025-02-10,Harbour,232,1003.1,35,112.0,80.6
2025-02-10,Greenpark,95,501.7,8,76.2,67.8
2025-02-11,Central,177,593.77,13,119.3,62.7
2025-02-11,Riverside,114,493.73,10,70.3,86.1
2025-02-11,Northgate,121,368.26,8,70.8,80.3
2025-02-11,Eastfield,144,406.17,12,55.2,78.6
2025-02-11,Harbour,199,978.68,19,80.5,73.0
2025-02-11,Greenpark,107,460.62,9,96.2,72.6
2025-02-12,Central,216,935.92,12,123.7,67.5
2025-02-12,Riverside,159,510.49,16,77.0,85.4
2025-02-12,Northgate,137,616.86,16,101.0,60.3
2025-02-12,Eastfield,151,453.61,6,110.8,78.2
2025-02-12,Harbour,193,496.19,14,125.6,96.4
2025-02-12,Greenpark,75,275.45,6,92.8,99.0
2025-02-13,Central,212,802.33,27,119.4,88.6
2025-02-13,Riverside,174,736.92,11,85.5,68.9
2025-02-13,Northgate,130,413.4,6,80.3,69.0
2025-02-13,Eastfield,97,475.4,7,100.8,48.7
2025-02-13,Harbour,210,860.76,22,65.7,53.5
2025-02-13,Greenpark,111,520.81,15,77.4,71.2
2025-02-14,Central,266,804.89,21,70.2,81.4
2025-02-14,Riverside,141,543.01,11,76.6,90.5
2025-02-14,Northgate,169,892.58,16,81.7,50.9
2025-02-14,Eastfield,112,562.92,11,153.0,77.9
2025-02-14,Harbour,206,593.93,14,107.6,80.7
2025-02-14,Greenpark,82,293.59,4,49.1,79.6
2025-02-15,Central,167,718.4,2,115.9,72.5
2025-02-15,Riverside,144,727.82,11,97.0,70.5
2025-02-15,Northgate,138,704.38,9,109.2,81.0
2025-02-15,Eastfield,84,311.55,6,108.4,58.5
2025-02-15,Harbour,167,738.63,13,89.4,75.0
2025-02-15,Greenpark,116,556.15,8,95.3,52.3
2025-02-16,Central,168,605.24,11,107.7,72.8
2025-02-16,Riverside,98,393.81,5,71.5,69.8
2025-02-16,Northgate,96,418.44,9,70.8,78.3
2025-02-16,Eastfield,82,449.74,6,98.7,66.9
2025-02-16,Harbour,149,681.9,10,95.4,61.1
2025-02-16,Greenpark,62,271.04,6,31.2,86.0
2025-02-17,Central,190,684.62,13,125.2,67.3
2025-02-17,Riverside,190,481.29,19,80.6,33.1
2025-02-17,Northgate,131,537.88,12,70.1,71.5
2025-02-17,Eastfield,75,377.48,10,94.3,58.0
2025-02-17,Harbour,185,871.73,9,37.4,65.3
2025-02-17,Greenpark,85,412.68,0,78.3,87.6
2025-02-18,Central,220,718.08,29,92.8,85.8
2025-02-18,Riverside,204,1057.81,23,127.5,95.4
2025-02-18,Northgate,145,427.82,8,97.2,97.8
2025-02-18,Eastfield,106,291.96,8,85.9,74.8
2025-02-18,Harbour,156,553.66,7,112.0,89.4
2025-02-18,Greenpark,92,257.16,6,124.6,82.8
2025-02-19,Central,283,1237.84,16,63.7,64.5
2025-02-19,Riverside,174,839.36,9,106.4,99.0
2025-02-19,Northgate,129,701.75,13,131.4,99.0
2025-02-19,Eastfield,124,554.21,12,85.9,59.4
2025-02-19,Harbour,165,630.01,3,109.5,74.2
2025-02-19,Greenpark,92,284.5,6,102.7,84.2
2025-02-20,Central,278,1413.38,17,115.9,59.8
2025-02-20,Riverside,199,932.41,15,111.6,89.6
2025-02-20,Northgate,148,807.19,6,92.6,70.7
2025-02-20,Eastfield,125,392.57,12,126.0,72.3
2025-02-20,Harbour,209,892.65,27,47.5,73.2
2025-02-20,Greenpark,129,660.48,12,127.2,82.1
2025-02-21,Central,238,601.66,10,115.7,58.1
2025-02-21,Riverside,201,625.53,13,136.7,77.9
2025-02-21,Northgate,116,413.67,10,101.9,93.8
2025-02-21,Eastfield,84,247.52,3,113.1,66.4
2025-02-21,Harbour,255,1315.44,17,52.5,93.9
2025-02-21,Greenpark,127,318.73,7,56.9,90.9
2025-02-22,Central,185,818.99,28,98.2,61.7
2025-02-22,Riverside,180,775.88,24,120.6,80.9
2025-02-22,Northgate,135,539.29,8,122.9,62.3
2025-02-22,Eastfield,106,429.49,10,66.5,69.1
2025-02-22,Harbour,147,406.57,3,107.0,51.5
2025-02-22,Greenpark,85,319.92,8,125.5,80.7
2025-02-23,Central,196,983.8,10,125.0,42.9
2025-02-23,Riverside,110,394.54,9,98.5,45.5
2025-02-23,Northgate,126,413.01,9,120.8,69.1
2025-02-23,Eastfield,86,422.08,7,65.8,28.9
2025-02-23,Harbour,165,628.74,21,117.5,83.7
2025-02-23,Greenpark,88,255.73,4,114.2,90.4
2025-02-24,Central,240,788.43,17,103.9,68.7
2025-02-24,Riverside,143,683.28,7,132.3,67.9
2025-02-24,Northgate,143,371.92,8,97.5,55.0
2025-02-24,Eastfield,79,410.76,3,96.7,79.7
2025-02-24,Harbour,149,699.18,9,67.2,80.5
2025-02-24,Greenpark,78,422.45,11,54.6,89.5
2025-02-25,Central,215,1086.15,11,120.4,99.0
2025-02-25,Riverside,158,730.51,13,74.3,73.3
2025-02-25,Northgate,119,356.68,0,83.8,99.0
2025-02-25,Eastfield,142,587.35,6,95.5,61.1
2025-02-25,Harbour,193,512.58,23,79.3,81.0
2025-02-25,Greenpark,88,307.18,5,98.1,96.4
2025-02-26,Central,256,1315.52,18,86.0,79.7
2025-02-26,Riverside,175,842.81,13,117.1,70.8
2025-02-26,Northgate,140,394.3,24,121.0,79.6
2025-02-26,Eastfield,134,722.72,8,97.8,50.4
2025-02-26,Harbour,229,969.31,13,124.7,80.1
2025-02-26,Greenpark,112,459.1,8,107.1,59.3
2025-02-27,Central,218,1105.6,24,88.4,79.3
2025-02-27,Riverside,151,782.48,9,71.1,78.4
2025-02-27,Northgate,192,528.08,9,99.8,75.6
2025-02-27,Eastfield,120,450.39,9,68.4,78.4
2025-02-27,Harbour,193,576.43,21,95.8,68.0
2025-02-27,Greenpark,128,661.86,11,99.9,66.7
2025-02-28,Central,257,1274.0,18,140.2,77.3
2025-02-28,Riverside,158,784.46,3,42.0,62.9
2025-02-28,Northgate,174,609.98,13,108.6,59.4
2025-02-28,Eastfield,100,354.38,6,135.4,67.2
2025-02-28,Harbour,239,850.15,30,92.4,90.4
2025-02-28,Greenpark,100,287.88,8,65.5,89.8
2025-03-01,Central,204,617.03,17,84.9,79.9
2025-03-01,Riverside,138,611.15,14,98.2,99.0
2025-03-01,Northgate,110,285.95,6,120.7,52.2
2025-03-01,Eastfield,110,494.45,11,105.2,68.4
2025-03-01,Harbour,198,560.93,27,52.4,37.8
2025-03-01,Greenpark,91,331.35,10,81.6,70.6
2025-03-02,Central,230,768.23,19,84.1,83.3
2025-03-02,Riverside,154,756.87,13,71.6,88.3
2025-03-02,Northgate,119,609.07,12,103.5,62.3
2025-03-02,Eastfield,86,277.41,7,94.5,67.5
2025-03-02,Harbour,201,681.73,6,121.3,59.0
2025-03-02,Greenpark,95,406.57,10,92.4,69.5
2025-03-03,Central,266,715.79,30,103.7,89.5
2025-03-03,Riverside,187,932.73,18,99.7,87.0
2025-03-03,Northgate,92,317.48,9,131.9,66.7
2025-03-03,Eastfield,135,517.07,11,135.3,91.7
2025-03-03,Harbour,269,864.11,27,70.9,72.5
2025-03-03,Greenpark,103,459.04,0,98.1,80.3
2025-03-04,Central,265,1166.61,34,92.4,69.2
2025-03-04,Riverside,168,443.01,2,84.3,61.6
2025-03-04,Northgate,123,532.88,9,72.6,62.0
2025-03-04,Eastfield,116,292.67,9,87.3,60.7
2025-03-04,Harbour,226,912.59,27,104.4,69.3
2025-03-04,Greenpark,95,413.36,7,87.0,60.1
2025-03-05,Central,306,1218.08,24,85.0,62.2
2025-03-05,Riverside,142,530.09,3,101.7,79.6
2025-03-05,Northgate,119,591.59,12,98.6,62.8
2025-03-05,Eastfield,107,390.71,9,41.2,61.2
2025-03-05,Harbour,209,993.49,10,107.8,69.5
2025-03-05,Greenpark,127,455.39,14,92.5,72.3
2025-03-06,Central,292,1266.61,25,104.5,81.5
2025-03-06,Riverside,181,529.68,10,94.2,68.9
2025-03-06,Northgate,152,643.2,3,46.0,83.0
2025-03-06,Eastfield,135,679.97,16,78.8,98.6
2025-03-06,Harbour,177,605.15,19,88.4,93.5
2025-03-06,Greenpark,116,588.43,10,91.6,84.2
2025-03-07,Central,295,1065.99,8,134.6,83.7
2025-03-07,Riverside,153,459.09,19,67.4,68.8
2025-03-07,Northgate,148,438.58,15,96.2,69.6
2025-03-07,Eastfield,94,255.22,10,52.9,59.9
2025-03-07,Harbour,247,887.66,31,142.3,65.1
2025-03-07,Greenpark,107,276.34,4,108.7,72.1
2025-03-08,Central,205,531.54,15,67.5,66.6
2025-03-08,Riverside,109,566.83,7,112.4,67.0
2025-03-08,Northgate,152,828.71,13,56.5,49.7
2025-03-08,Eastfield,107,316.98,2,138.3,99.0
2025-03-08,Harbour,197,752.8,18,68.4,58.9
2025-03-08,Greenpark,72,388.75,3,45.5,83.2
2025-03-09,Central,184,705.11,16,89.9,99.0
2025-03-09,Riverside,156,656.47,16,64.3,79.5
2025-03-09,Northgate,120,471.2,9,56.9,75.6
2025-03-09,Eastfield,103,526.32,13,102.7,66.1
2025-03-09,Harbour,187,622.21,13,91.9,54.4
2025-03-09,Greenpark,89,453.07,8,50.7,90.9
2025-03-10,Central,228,1091.07,13,101.0,35.7
2025-03-10,Riverside,253,1289.47,18,93.6,76.3
2025-03-10,Northgate,168,709.06,16,124.1,68.9
2025-03-10,Eastfield,117,471.66,12,111.4,74.9
2025-03-10,Harbour,215,981.08,14,118.8,88.5
2025-03-10,Greenpark,101,361.19,5,79.3,84.9
2025-03-11,Central,301,1018.54,28,107.9,82.7
2025-03-11,Riverside,191,918.09,11,124.7,82.6
2025-03-11,Northgate,164,453.59,18,74.5,71.6
2025-03-11,Eastfield,90,242.82,2,75.2,67.4
2025-03-11,Harbour,154,420.51,13,131.4,72.0
2025-03-11,Greenpark,105,285.46,8,54.8,60.6
2025-03-12,Central,233,1144.13,12,91.1,82.5
2025-03-12,Riverside,172,675.84,17,110.9,53.4
2025-03-12,Northgate,157,561.03,13,73.6,77.0
2025-03-12,Eastfield,120,461.77,13,140.0,90.6
2025-03-12,Harbour,222,716.13,14,116.1,80.4
2025-03-12,Greenpark,111,450.72,13,104.8,64.4
2025-03-13,Central,262,878.44,7,103.4,57.8
2025-03-13,Riverside,163,542.55,13,86.8,74.3
2025-03-13,Northgate,175,603.54,9,88.2,60.3
2025-03-13,Eastfield,133,457.53,8,101.6,74.9
2025-03-13,Harbour,243,882.56,18,93.4,99.0
2025-03-13,Greenpark,133,613.34,5,119.1,90.5
2025-03-14,Central,267,906.24,22,100.1,67.7
2025-03-14,Riverside,168,601.47,14,95.0,81.0
2025-03-14,Northgate,122,381.45,1,59.9,50.8
2025-03-14,Eastfield,142,717.25,9,110.6,54.9
2025-03-14,Harbour,249,783.66,19,119.3,96.0
2025-03-14,Greenpark,95,423.22,6,73.3,88.9
2025-03-15,Central,180,835.13,23,99.8,69.8
2025-03-15,Riverside,130,347.66,4,96.0,57.0
2025-03-15,Northgate,144,366.35,9,56.9,55.0
2025-03-15,Eastfield,96,356.44,0,155.3,83.8
2025-03-15,Harbour,179,964.9,12,145.4,75.2
2025-03-15,Greenpark,104,501.15,6,106.0,72.3
2025-03-16,Central,242,692.27,23,119.5,60.9
2025-03-16,Riverside,101,365.14,8,99.1,72.8
2025-03-16,Northgate,133,643.87,11,38.2,58.0
2025-03-16,Eastfield,94,299.36,7,92.4,47.4
2025-03-16,Harbour,175,467.87,22,108.4,72.8
2025-03-16,Greenpark,87,276.32,5,85.6,67.2
2025-03-17,Central,314,1329.76,30,103.1,66.5
2025-03-17,Riverside,144,651.22,18,74.7,53.1
2025-03-17,Northgate,150,586.49,14,103.3,81.3
2025-03-17,Eastfield,100,537.38,7,54.8,74.8
2025-03-17,Harbour,281,766.77,22,116.0,62.7
2025-03-17,Greenpark,143,543.18,3,59.4,68.0
2025-03-18,Central,247,1329.32,24,96.2,77.0
2025-03-18,Riverside,168,719.15,5,99.7,62.1
2025-03-18,Northgate,165,787.37,13,92.9,53.4
2025-03-18,Eastfield,102,451.03,10,71.1,79.1
2025-03-18,Harbour,264,1055.13,23,110.5,68.9
2025-03-18,Greenpark,118,373.61,4,117.1,65.2
2025-03-19,Central,245,927.6,21,94.5,64.7
2025-03-19,Riverside,158,531.93,14,113.6,69.3
2025-03-19,Northgate,140,514.83,16,101.2,74.3
2025-03-19,Eastfield,121,432.13,11,77.9,83.9
2025-03-19,Harbour,152,679.42,16,77.2,63.0
2025-03-19,Greenpark,83,217.19,6,84.8,82.3
2025-03-20,Central,268,1021.04,26,108.7,99.0
2025-03-20,Riverside,158,562.35,17,90.3,85.8
2025-03-20,Northgate,153,610.87,19,105.2,52.1
2025-03-20,Eastfield,110,557.16,5,29.9,75.0
2025-03-20,Harbour,230,804.21,21,120.9,83.1
2025-03-20,Greenpark,92,471.74,8,50.5,76.8
2025-03-21,Central,244,703.6,18,112.3,33.6
2025-03-21,Riverside,160,545.89,7,112.0,54.8
2025-03-21,Northgate,171,644.31,16,68.4,54.0
2025-03-21,Eastfield,135,411.05,13,114.6,68.2
2025-03-21,Harbour,196,837.3,24,80.0,75.4
2025-03-21,Greenpark,137,411.27,12,105.5,93.0
2025-03-22,Central,241,816.91,8,119.3,84.1
2025-03-22,Riverside,150,604.0,7,110.2,69.3
2025-03-22,Northgate,140,650.02,14,115.4,70.9
2025-03-22,Eastfield,116,589.87,12,116.0,62.7
2025-03-22,Harbour,164,575.12,7,121.5,86.1
2025-03-22,Greenpark,98,390.9,8,67.7,66.2
2025-03-23,Central,242,884.04,25,93.5,78.8
2025-03-23,Riverside,167,826.88,8,107.5,72.7
2025-03-23,Northgate,130,605.2,7,89.1,76.0
2025-03-23,Eastfield,103,380.04,12,83.0,59.1
2025-03-23,Harbour,198,894.59,13,78.8,83.6
2025-03-23,Greenpark,105,524.84,14,85.8,74.2
2025-03-24,Central,193,660.12,17,126.2,49.3
2025-03-24,Riverside,212,787.28,11,81.6,46.4
2025-03-24,Northgate,129,344.4,15,108.5,69.7
2025-03-24,Eastfield,144,633.15,16,86.0,52.1
