date,hour,district,sensor_type,value,status
2025-01-01,8,Northgate,traffic_flow,781.0,normal
2025-01-01,12,Northgate,traffic_flow,191.0,normal
2025-01-01,16,Northgate,traffic_flow,934.0,normal
2025-01-01,20,Northgate,traffic_flow,375.0,normal
2025-01-01,8,Eastfield,air_quality,47.1,normal
2025-01-01,12,Eastfield,air_quality,21.4,normal
2025-01-01,16,Eastfield,air_quality,16.1,normal
2025-01-01,20,Eastfield,air_quality,48.0,normal
2025-01-01,8,Eastfield,noise_level,77.7,normal
2025-01-01,12,Eastfield,noise_level,72.4,normal
2025-01-01,16,Eastfield,noise_level,70.5,normal
2025-01-01,20,Eastfield,noise_level,65.1,normal
2025-01-01,8,Eastfield,temperature,6.5,normal
2025-01-01,12,Eastfield,temperature,4.0,normal
2025-01-01,16,Eastfield,temperature,17.9,normal
2025-01-01,20,Eastfield,temperature,9.5,normal
2025-01-01,8,Eastfield,humidity,57.0,warning
2025-01-01,12,Eastfield,humidity,66.5,normal
2025-01-01,16,Eastfield,humidity,51.4,normal
2025-01-01,20,Eastfield,humidity,58.7,normal
2025-01-01,8,Eastfield,traffic_flow,1078.0,normal
2025-01-01,12,Eastfield,traffic_flow,456.0,normal
2025-01-01,16,Eastfield,traffic_flow,891.0,normal
2025-01-01,20,Eastfield,traffic_flow,387.0,normal
2025-01-01,8,Harbour,air_quality,65.8,warning
2025-01-01,12,Harbour,air_quality,65.3,normal
2025-01-01,16,Harbour,air_quality,41.5,normal
2025-01-01,20,Harbour,air_quality,45.6,normal
2025-01-01,8,Harbour,noise_level,78.1,normal
2025-01-01,12,Harbour,noise_level,63.1,normal
2025-01-01,16,Harbour,noise_level,58.3,normal
2025-01-01,20,Harbour,noise_level,59.1,normal
2025-01-01,8,Harbour,temperature,8.7,normal
2025-01-01,12,Harbour,temperature,10.2,normal
2025-01-01,16,Harbour,temperature,8.8,normal
2025-01-01,20,Harbour,temperature,10.2,normal
2025-01-01,8,Harbour,humidity,55.1,normal
2025-01-01,12,Harbour,humidity,71.0,normal
2025-01-01,16,Harbour,humidity,73.2,normal
2025-01-01,20,Harbour,humidity,75.9,normal
2025-01-01,8,Harbour,traffic_flow,885.0,normal
2025-01-01,12,Harbour,traffic_flow,560.0,normal
2025-01-01,16,Harbour,traffic_flow,823.0,normal
2025-01-01,20,Harbour,traffic_flow,410.0,critical
2025-01-01,8,Greenpark,air_quality,35.2,normal
2025-01-01,12,Greenpark,air_quality,59.9,normal
2025-01-01,16,Greenpark,air_quality,36.3,normal
2025-01-01,20,Greenpark,air_quality,15.5,normal
2025-01-01,8,Greenpark,noise_level,54.9,normal
2025-01-01,12,Greenpark,noise_level,72.9,normal
2025-01-01,16,Greenpark,noise_level,70.2,normal
2025-01-01,20,Greenpark,noise_level,65.5,normal
2025-01-01,8,Greenpark,temperature,17.0,normal
2025-01-01,12,Greenpark,temperature,11.2,normal
2025-01-01,16,Greenpark,temperature,7.8,normal
2025-01-01,20,Greenpark,temperature,7.5,normal
2025-01-01,8,Greenpark,humidity,73.5,normal
2025-01-01,12,Greenpark,humidity,87.7,normal
2025-01-01,16,Greenpark,humidity,65.8,normal
2025-01-01,20,Greenpark,humidity,71.5,normal
2025-01-01,8,Greenpark,traffic_flow,873.0,normal
2025-01-01,12,Greenpark,traffic_flow,757.0,normal
2025-01-01,16,Greenpark,traffic_flow,950.0,normal
2025-01-01,20,Greenpark,traffic_flow,589.0,normal
2025-01-02,8,Central,air_quality,30.9,normal
2025-01-02,12,Central,air_quality,36.2,normal
2025-01-02,16,Central,air_quality,34.9,warning
2025-01-02,20,Central,air_quality,41.8,normal
2025-01-02,8,Central,noise_level,63.6,warning
2025-01-02,12,Central,noise_level,66.3,normal
2025-01-02,16,Central,noise_level,61.8,normal
2025-01-02,20,Central,noise_level,55.0,normal
2025-01-02,8,Central,temperature,7.1,normal
2025-01-02,12,Central,temperature,11.4,normal
2025-01-02,16,Central,temperature,12.3,normal
2025-01-02,20,Central,temperature,9.6,normal
2025-01-02,8,Central,humidity,42.4,normal
2025-01-02,12,Central,humidity,79.9,normal
2025-01-02,16,Central,humidity,62.4,normal
2025-01-02,20,Central,humidity,46.3,normal
2025-01-02,8,Central,traffic_flow,806.0,normal
2025-01-02,12,Central,traffic_flow,560.0,normal
2025-01-02,16,Central,traffic_flow,747.0,normal
2025-01-02,20,Central,traffic_flow,62.0,normal
2025-01-02,8,Riverside,air_quality,41.0,warning
2025-01-02,12,Riverside,air_quality,33.7,normal
2025-01-02,16,Riverside,air_quality,48.9,critical
2025-01-02,20,Riverside,air_quality,46.2,normal
2025-01-02,8,Riverside,noise_level,56.8,warning
2025-01-02,12,Riverside,noise_level,56.2,warning
2025-01-02,16,Riverside,noise_level,78.6,normal
2025-01-02,20,Riverside,noise_level,68.7,normal
2025-01-02,8,Riverside,temperature,11.6,normal
2025-01-02,12,Riverside,temperature,12.8,normal
2025-01-02,16,Riverside,temperature,9.5,normal
2025-01-02,20,Riverside,temperature,15.0,normal
2025-01-02,8,Riverside,humidity,70.6,normal
2025-01-02,12,Riverside,humidity,67.5,normal
2025-01-02,16,Riverside,humidity,70.4,normal
2025-01-02,20,Riverside,humidity,61.6,normal
2025-01-02,8,Riverside,traffic_flow,712.0,warning
2025-01-02,12,Riverside,traffic_flow,576.0,normal
2025-01-02,16,Riverside,traffic_flow,642.0,warning
2025-01-02,20,Riverside,traffic_flow,253.0,warning
2025-01-02,8,Northgate,air_quality,44.1,normal
2025-01-02,12,Northgate,air_quality,31.1,normal
2025-01-02,16,Northgate,air_quality,17.9,normal
2025-01-02,20,Northgate,air_quality,26.9,normal
2025-01-02,8,Northgate,noise_level,53.0,normal
2025-01-02,12,Northgate,noise_level,67.0,normal
2025-01-02,16,Northgate,noise_level,60.5,warning
2025-01-02,20,Northgate,noise_level,73.7,normal
2025-01-02,8,Northgate,temperature,3.9,warning
2025-01-02,12,Northgate,temperature,6.8,normal
2025-01-02,16,Northgate,temperature,7.3,normal
2025-01-02,20,Northgate,temperature,10.8,warning
2025-01-02,8,Northgate,humidity,55.6,normal
2025-01-02,12,Northgate,humidity,60.8,normal
2025-01-02,16,Northgate,humidity,50.0,normal
2025-01-02,20,Northgate,humidity,49.1,normal
2025-01-02,8,Northgate,traffic_flow,701.0,normal
2025-01-02,12,Northgate,traffic_flow,556.0,normal
2025-01-02,16,Northgate,traffic_flow,610.0,normal
2025-01-02,20,Northgate,traffic_flow,575.0,normal
2025-01-02,8,Eastfield,air_quality,61.8,normal
2025-01-02,12,Eastfield,air_quality,37.2,normal
2025-01-02,16,Eastfield,air_quality,46.1,normal
2025-01-02,20,Eastfield,air_quality,51.1,normal
2025-01-02,8,Eastfield,noise_level,70.4,normal
2025-01-02,12,Eastfield,noise_level,51.0,normal
2025-01-02,16,Eastfield,noise_level,71.9,normal
2025-01-02,20,Eastfield,noise_level,63.7,normal
2025-01-02,8,Eastfield,temperature,7.5,normal
2025-01-02,12,Eastfield,temperature,10.5,normal
2025-01-02,16,Eastfield,temperature,7.4,normal
2025-01-02,20,Eastfield,temperature,10.1,warning
2025-01-02,8,Eastfield,humidity,59.1,normal
2025-01-02,12,Eastfield,humidity,68.0,normal
2025-01-02,16,Eastfield,humidity,68.9,normal
2025-01-02,20,Eastfield,humidity,84.8,warning
2025-01-02,8,Eastfield,traffic_flow,895.0,normal
2025-01-02,12,Eastfield,traffic_flow,467.0,normal
2025-01-02,16,Eastfield,traffic_flow,566.0,normal
2025-01-02,20,Eastfield,traffic_flow,550.0,normal
2025-01-02,8,Harbour,air_quality,38.7,normal
2025-01-02,12,Harbour,air_quality,27.1,warning
2025-01-02,16,Harbour,air_quality,83.0,normal
2025-01-02,20,Harbour,air_quality,33.8,warning
2025-01-02,8,Harbour,noise_level,79.3,normal
2025-01-02,12,Harbour,noise_level,66.2,normal
2025-01-02,16,Harbour,noise_level,68.8,normal
2025-01-02,20,Harbour,noise_level,62.4,normal
2025-01-02,8,Harbour,temperature,7.5,normal
2025-01-02,12,Harbour,temperature,12.3,normal
2025-01-02,16,Harbour,temperature,10.8,normal
2025-01-02,20,Harbour,temperature,10.8,normal
2025-01-02,8,Harbour,humidity,66.8,normal
2025-01-02,12,Harbour,humidity,62.0,warning
2025-01-02,16,Harbour,humidity,76.5,normal
2025-01-02,20,Harbour,humidity,73.1,normal
2025-01-02,8,Harbour,traffic_flow,932.0,normal
2025-01-02,12,Harbour,traffic_flow,375.0,normal
2025-01-02,16,Harbour,traffic_flow,764.0,normal
2025-01-02,20,Harbour,traffic_flow,329.0,normal
2025-01-02,8,Greenpark,air_quality,47.7,normal
2025-01-02,12,Greenpark,air_quality,17.7,normal
2025-01-02,16,Greenpark,air_quality,93.4,normal
2025-01-02,20,Greenpark,air_quality,34.8,normal
2025-01-02,8,Greenpark,noise_level,77.3,normal
2025-01-02,12,Greenpark,noise_level,57.5,normal
2025-01-02,16,Greenpark,noise_level,45.4,critical
2025-01-02,20,Greenpark,noise_level,69.5,warning
2025-01-02,8,Greenpark,temperature,15.3,normal
2025-01-02,12,Greenpark,temperature,11.7,normal
2025-01-02,16,Greenpark,temperature,15.1,normal
2025-01-02,20,Greenpark,temperature,13.6,normal
2025-01-02,8,Greenpark,humidity,51.7,normal
2025-01-02,12,Greenpark,humidity,76.6,normal
2025-01-02,16,Greenpark,humidity,18.8,critical
2025-01-02,20,Greenpark,humidity,71.0,normal
2025-01-02,8,Greenpark,traffic_flow,703.0,normal
2025-01-02,12,Greenpark,traffic_flow,566.0,normal
2025-01-02,16,Greenpark,traffic_flow,637.0,normal
2025-01-02,20,Greenpark,traffic_flow,555.0,normal
2025-01-03,8,Central,air_quality,59.2,warning
2025-01-03,12,Central,air_quality,48.1,critical
2025-01-03,16,Central,air_quality,35.6,normal
2025-01-03,20,Central,air_quality,58.7,normal
2025-01-03,8,Central,noise_level,40.7,normal
2025-01-03,12,Central,noise_level,53.6,normal
2025-01-03,16,Central,noise_level,62.6,normal
2025-01-03,20,Central,noise_level,64.0,normal
2025-01-03,8,Central,temperature,8.0,normal
2025-01-03,12,Central,temperature,8.0,critical
2025-01-03,16,Central,temperature,11.8,normal
2025-01-03,20,Central,temperature,7.4,normal
2025-01-03,8,Central,humidity,60.6,normal
2025-01-03,12,Central,humidity,48.7,normal
2025-01-03,16,Central,humidity,66.6,normal
2025-01-03,20,Central,humidity,62.8,normal
2025-01-03,8,Central,traffic_flow,524.0,normal
2025-01-03,12,Central,traffic_flow,210.0,normal
2025-01-03,16,Central,traffic_flow,354.0,normal
2025-01-03,20,Central,traffic_flow,602.0,normal
2025-01-03,8,Riverside,air_quality,34.1,normal
2025-01-03,12,Riverside,air_quality,52.7,normal
2025-01-03,16,Riverside,air_quality,28.4,normal
2025-01-03,20,Riverside,air_quality,72.3,normal
2025-01-03,8,Riverside,noise_level,43.2,normal
2025-01-03,12,Riverside,noise_level,76.8,normal
2025-01-03,16,Riverside,noise_level,64.0,critical
2025-01-03,20,Riverside,noise_level,70.8,normal
2025-01-03,8,Riverside,temperature,14.1,normal
2025-01-03,12,Riverside,temperature,10.9,normal
2025-01-03,16,Riverside,temperature,15.5,normal
2025-01-03,20,Riverside,temperature,14.0,normal
2025-01-03,8,Riverside,humidity,75.5,normal
2025-01-03,12,Riverside,humidity,82.4,normal
2025-01-03,16,Riverside,humidity,66.0,normal
2025-01-03,20,Riverside,humidity,52.7,normal
2025-01-03,8,Riverside,traffic_flow,1172.0,normal
2025-01-03,12,Riverside,traffic_flow,420.0,normal
2025-01-03,16,Riverside,traffic_flow,854.0,normal
2025-01-03,20,Riverside,traffic_flow,216.0,normal
2025-01-03,8,Northgate,air_quality,70.9,normal
2025-01-03,12,Northgate,air_quality,51.0,warning
2025-01-03,16,Northgate,air_quality,55.8,normal
2025-01-03,20,Northgate,air_quality,58.3,normal
2025-01-03,8,Northgate,noise_level,54.4,warning
2025-01-03,12,Northgate,noise_level,78.9,normal
2025-01-03,16,Northgate,noise_level,67.3,normal
2025-01-03,20,Northgate,noise_level,40.5,normal
2025-01-03,8,Northgate,temperature,13.5,normal
2025-01-03,12,Northgate,temperature,9.9,normal
2025-01-03,16,Northgate,temperature,8.4,normal
2025-01-03,20,Northgate,temperature,5.5,normal
2025-01-03,8,Northgate,humidity,60.6,normal
2025-01-03,12,Northgate,humidity,59.0,normal
2025-01-03,16,Northgate,humidity,84.3,normal
2025-01-03,20,Northgate,humidity,57.9,normal
2025-01-03,8,Northgate,traffic_flow,602.0,normal
2025-01-03,12,Northgate,traffic_flow,491.0,normal
2025-01-03,16,Northgate,traffic_flow,1001.0,normal
2025-01-03,20,Northgate,traffic_flow,365.0,warning
2025-01-03,8,Eastfield,air_quality,82.0,normal
2025-01-03,12,Eastfield,air_quality,65.7,normal
2025-01-03,16,Eastfield,air_quality,71.0,normal
2025-01-03,20,Eastfield,air_quality,55.4,normal
2025-01-03,8,Eastfield,noise_level,67.5,normal
2025-01-03,12,Eastfield,noise_level,55.8,normal
2025-01-03,16,Eastfield,noise_level,83.1,normal
2025-01-03,20,Eastfield,noise_level,80.6,normal
2025-01-03,8,Eastfield,temperature,15.3,normal
2025-01-03,12,Eastfield,temperature,10.2,normal
2025-01-03,16,Eastfield,temperature,9.4,normal
2025-01-03,20,Eastfield,temperature,12.6,normal
2025-01-03,8,Eastfield,humidity,59.7,normal
2025-01-03,12,Eastfield,humidity,66.3,normal
2025-01-03,16,Eastfield,humidity,39.6,normal
2025-01-03,20,Eastfield,humidity,70.5,normal
2025-01-03,8,Eastfield,traffic_flow,904.0,normal
2025-01-03,12,Eastfield,traffic_flow,620.0,warning
2025-01-03,16,Eastfield,traffic_flow,936.0,normal
2025-01-03,20,Eastfield,traffic_flow,563.0,normal
2025-01-03,8,Harbour,air_quality,80.4,normal
2025-01-03,12,Harbour,air_quality,32.6,normal
2025-01-03,16,Harbour,air_quality,29.7,normal
2025-01-03,20,Harbour,air_quality,50.3,normal
2025-01-03,8,Harbour,noise_level,50.5,normal
2025-01-03,12,Harbour,noise_level,67.2,normal
2025-01-03,16,Harbour,noise_level,50.9,normal
2025-01-03,20,Harbour,noise_level,53.0,normal
2025-01-03,8,Harbour,temperature,5.6,warning
2025-01-03,12,Harbour,temperature,11.1,normal
2025-01-03,16,Harbour,temperature,6.5,normal
2025-01-03,20,Harbour,temperature,11.9,normal
2025-01-03,8,Harbour,humidity,77.0,normal
2025-01-03,12,Harbour,humidity,56.2,normal
2025-01-03,16,Harbour,humidity,79.2,normal
2025-01-03,20,Harbour,humidity,77.3,normal
2025-01-03,8,Harbour,traffic_flow,981.0,normal
2025-01-03,12,Harbour,traffic_flow,300.0,normal
2025-01-03,16,Harbour,traffic_flow,694.0,normal
2025-01-03,20,Harbour,traffic_flow,511.0,normal
2025-01-03,8,Greenpark,air_quality,50.1,normal
2025-01-03,12,Greenpark,air_quality,51.8,critical
2025-01-03,16,Greenpark,air_quality,72.2,normal
2025-01-03,20,Greenpark,air_quality,21.4,critical
2025-01-03,8,Greenpark,noise_level,74.3,normal
2025-01-03,12,Greenpark,noise_level,71.9,normal
2025-01-03,16,Greenpark,noise_level,70.4,normal
2025-01-03,20,Greenpark,noise_level,75.4,normal
2025-01-03,8,Greenpark,temperature,9.8,normal
2025-01-03,12,Greenpark,temperature,7.0,normal
2025-01-03,16,Greenpark,temperature,8.6,normal
2025-01-03,20,Greenpark,temperature,8.2,warning
2025-01-03,8,Greenpark,humidity,29.3,normal
2025-01-03,12,Greenpark,humidity,75.5,normal
2025-01-03,16,Greenpark,humidity,62.0,normal
2025-01-03,20,Greenpark,humidity,64.2,normal
2025-01-03,8,Greenpark,traffic_flow,736.0,normal
2025-01-03,12,Greenpark,traffic_flow,413.0,normal
2025-01-03,16,Greenpark,traffic_flow,1052.0,normal
2025-01-03,20,Greenpark,traffic_flow,176.0,warning
2025-01-04,8,Central,air_quality,79.2,warning
2025-01-04,12,Central,air_quality,51.1,normal
2025-01-04,16,Central,air_quality,38.5,normal
2025-01-04,20,Central,air_quality,40.5,normal
2025-01-04,8,Central,noise_level,52.8,critical
2025-01-04,12,Central,noise_level,40.6,normal
2025-01-04,16,Central,noise_level,50.9,normal
2025-01-04,20,Central,noise_level,63.1,normal
2025-01-04,8,Central,temperature,9.6,normal
2025-01-04,12,Central,temperature,11.7,normal
2025-01-04,16,Central,temperature,8.8,normal
2025-01-04,20,Central,temperature,8.4,normal
2025-01-04,8,Central,humidity,99.6,normal
2025-01-04,12,Central,humidity,53.8,normal
2025-01-04,16,Central,humidity,54.7,normal
2025-01-04,20,Central,humidity,81.5,normal
2025-01-04,8,Central,traffic_flow,922.0,normal
2025-01-04,12,Central,traffic_flow,355.0,normal
2025-01-04,16,Central,traffic_flow,935.0,normal
2025-01-04,20,Central,traffic_flow,431.0,normal
2025-01-04,8,Riverside,air_quality,37.8,normal
2025-01-04,12,Riverside,air_quality,58.4,normal
2025-01-04,16,Riverside,air_quality,47.0,normal
2025-01-04,20,Riverside,air_quality,13.8,normal
2025-01-04,8,Riverside,noise_level,71.0,normal
2025-01-04,12,Riverside,noise_level,61.6,normal
2025-01-04,16,Riverside,noise_level,81.0,normal
2025-01-04,20,Riverside,noise_level,73.5,normal
2025-01-04,8,Riverside,temperature,10.9,normal
2025-01-04,12,Riverside,temperature,9.2,normal
2025-01-04,16,Riverside,temperature,10.3,normal
2025-01-04,20,Riverside,temperature,7.6,warning
2025-01-04,8,Riverside,humidity,69.3,warning
2025-01-04,12,Riverside,humidity,90.1,normal
2025-01-04,16,Riverside,humidity,95.8,normal
2025-01-04,20,Riverside,humidity,84.6,normal
2025-01-04,8,Riverside,traffic_flow,834.0,normal
2025-01-04,12,Riverside,traffic_flow,202.0,warning
2025-01-04,16,Riverside,traffic_flow,803.0,normal
2025-01-04,20,Riverside,traffic_flow,554.0,normal
2025-01-04,8,Northgate,air_quality,61.2,warning
2025-01-04,12,Northgate,air_quality,43.7,warning
2025-01-04,16,Northgate,air_quality,42.3,normal
2025-01-04,20,Northgate,air_quality,53.7,normal
2025-01-04,8,Northgate,noise_level,63.7,normal
2025-01-04,12,Northgate,noise_level,62.2,normal
2025-01-04,16,Northgate,noise_level,61.6,normal
2025-01-04,20,Northgate,noise_level,79.6,normal
2025-01-04,8,Northgate,temperature,7.3,normal
2025-01-04,12,Northgate,temperature,9.4,normal
2025-01-04,16,Northgate,temperature,9.5,normal
2025-01-04,20,Northgate,temperature,10.8,normal
2025-01-04,8,Northgate,humidity,66.7,normal
2025-01-04,12,Northgate,humidity,65.7,normal
2025-01-04,16,Northgate,humidity,52.2,normal
2025-01-04,20,Northgate,humidity,66.7,normal
2025-01-04,8,Northgate,traffic_flow,907.0,normal
2025-01-04,12,Northgate,traffic_flow,443.0,normal
2025-01-04,16,Northgate,traffic_flow,660.0,normal
2025-01-04,20,Northgate,traffic_flow,428.0,normal
2025-01-04,8,Eastfield,air_quality,47.3,normal
2025-01-04,12,Eastfield,air_quality,40.6,normal
2025-01-04,16,Eastfield,air_quality,50.4,normal
2025-01-04,20,Eastfield,air_quality,35.8,normal
2025-01-04,8,Eastfield,noise_level,71.2,normal
2025-01-04,12,Eastfield,noise_level,85.7,normal
2025-01-04,16,Eastfield,noise_level,72.3,normal
2025-01-04,20,Eastfield,noise_level,54.0,normal
2025-01-04,8,Eastfield,temperature,12.1,normal
2025-01-04,12,Eastfield,temperature,12.9,normal
2025-01-04,16,Eastfield,temperature,11.4,normal
2025-01-04,20,Eastfield,temperature,11.7,normal
2025-01-04,8,Eastfield,humidity,65.3,normal
2025-01-04,12,Eastfield,humidity,49.0,normal
2025-01-04,16,Eastfield,humidity,64.3,normal
2025-01-04,20,Eastfield,humidity,53.0,normal
2025-01-04,8,Eastfield,traffic_flow,780.0,normal
2025-01-04,12,Eastfield,traffic_flow,335.0,normal
2025-01-04,16,Eastfield,traffic_flow,671.0,normal
2025-01-04,20,Eastfield,traffic_flow,612.0,normal
2025-01-04,8,Harbour,air_quality,46.7,warning
2025-01-04,12,Harbour,air_quality,37.8,critical
2025-01-04,16,Harbour,air_quality,-7.4,normal
2025-01-04,20,Harbour,air_quality,19.0,normal
2025-01-04,8,Harbour,noise_level,72.8,normal
2025-01-04,12,Harbour,noise_level,65.9,normal
2025-01-04,16,Harbour,noise_level,87.8,normal
2025-01-04,20,Harbour,noise_level,55.0,normal
2025-01-04,8,Harbour,temperature,14.0,normal
2025-01-04,12,Harbour,temperature,9.9,normal
2025-01-04,16,Harbour,temperature,7.7,warning
2025-01-04,20,Harbour,temperature,9.1,normal
2025-01-04,8,Harbour,humidity,68.1,normal
2025-01-04,12,Harbour,humidity,59.0,critical
2025-01-04,16,Harbour,humidity,49.4,normal
2025-01-04,20,Harbour,humidity,53.2,normal
2025-01-04,8,Harbour,traffic_flow,891.0,normal
2025-01-04,12,Harbour,traffic_flow,265.0,warning
2025-01-04,16,Harbour,traffic_flow,356.0,critical
2025-01-04,20,Harbour,traffic_flow,321.0,critical
2025-01-04,8,Greenpark,air_quality,29.4,normal
2025-01-04,12,Greenpark,air_quality,51.3,normal
2025-01-04,16,Greenpark,air_quality,94.2,normal
2025-01-04,20,Greenpark,air_quality,55.2,normal
2025-01-04,8,Greenpark,noise_level,54.4,normal
2025-01-04,12,Greenpark,noise_level,66.2,normal
2025-01-04,16,Greenpark,noise_level,55.1,normal
2025-01-04,20,Greenpark,noise_level,65.0,normal
2025-01-04,8,Greenpark,temperature,14.7,normal
2025-01-04,12,Greenpark,temperature,10.1,normal
2025-01-04,16,Greenpark,temperature,11.3,normal
2025-01-04,20,Greenpark,temperature,10.2,normal
2025-01-04,8,Greenpark,humidity,79.9,normal
2025-01-04,12,Greenpark,humidity,76.0,normal
2025-01-04,16,Greenpark,humidity,61.2,normal
2025-01-04,20,Greenpark,humidity,76.1,normal
2025-01-04,8,Greenpark,traffic_flow,839.0,normal
2025-01-04,12,Greenpark,traffic_flow,350.0,normal
2025-01-04,16,Greenpark,traffic_flow,752.0,normal
2025-01-04,20,Greenpark,traffic_flow,434.0,normal
2025-01-05,8,Central,air_quality,52.2,normal
2025-01-05,12,Central,air_quality,43.7,normal
2025-01-05,16,Central,air_quality,52.7,normal
2025-01-05,20,Central,air_quality,33.2,normal
2025-01-05,8,Central,noise_level,50.8,normal
2025-01-05,12,Central,noise_level,46.0,normal
2025-01-05,16,Central,noise_level,69.1,warning
2025-01-05,20,Central,noise_level,45.1,normal
2025-01-05,8,Central,temperature,11.2,normal
2025-01-05,12,Central,temperature,8.8,warning
2025-01-05,16,Central,temperature,9.3,normal
2025-01-05,20,Central,temperature,9.4,normal
2025-01-05,8,Central,humidity,102.2,normal
2025-01-05,12,Central,humidity,57.5,normal
2025-01-05,16,Central,humidity,52.9,normal
2025-01-05,20,Central,humidity,93.5,normal
2025-01-05,8,Central,traffic_flow,613.0,normal
2025-01-05,12,Central,traffic_flow,241.0,normal
2025-01-05,16,Central,traffic_flow,938.0,normal
2025-01-05,20,Central,traffic_flow,467.0,normal
2025-01-05,8,Riverside,air_quality,39.3,normal
2025-01-05,12,Riverside,air_quality,28.5,normal
2025-01-05,16,Riverside,air_quality,12.1,normal
2025-01-05,20,Riverside,air_quality,74.1,normal
2025-01-05,8,Riverside,noise_level,70.9,normal
2025-01-05,12,Riverside,noise_level,79.8,normal
2025-01-05,16,Riverside,noise_level,75.4,normal
2025-01-05,20,Riverside,noise_level,68.0,normal
2025-01-05,8,Riverside,temperature,8.4,normal
2025-01-05,12,Riverside,temperature,7.3,normal
2025-01-05,16,Riverside,temperature,13.7,normal
2025-01-05,20,Riverside,temperature,8.8,normal
2025-01-05,8,Riverside,humidity,52.1,critical
2025-01-05,12,Riverside,humidity,56.2,normal
2025-01-05,16,Riverside,humidity,84.4,normal
2025-01-05,20,Riverside,humidity,53.4,normal
2025-01-05,8,Riverside,traffic_flow,752.0,normal
2025-01-05,12,Riverside,traffic_flow,393.0,normal
2025-01-05,16,Riverside,traffic_flow,842.0,normal
2025-01-05,20,Riverside,traffic_flow,273.0,normal
2025-01-05,8,Northgate,air_quality,43.6,normal
2025-01-05,12,Northgate,air_quality,62.0,normal
2025-01-05,16,Northgate,air_quality,83.7,normal
2025-01-05,20,Northgate,air_quality,26.9,normal
2025-01-05,8,Northgate,noise_level,51.5,warning
2025-01-05,12,Northgate,noise_level,53.1,normal
2025-01-05,16,Northgate,noise_level,70.0,normal
2025-01-05,20,Northgate,noise_level,50.7,normal
2025-01-05,8,Northgate,temperature,9.7,normal
2025-01-05,12,Northgate,temperature,9.4,normal
2025-01-05,16,Northgate,temperature,16.8,normal
2025-01-05,20,Northgate,temperature,8.5,normal
2025-01-05,8,Northgate,humidity,56.6,normal
2025-01-05,12,Northgate,humidity,75.0,normal
2025-01-05,16,Northgate,humidity,70.2,normal
2025-01-05,20,Northgate,humidity,55.7,normal
2025-01-05,8,Northgate,traffic_flow,1005.0,normal
2025-01-05,12,Northgate,traffic_flow,209.0,normal
